Src   Dst   Srvport  Utilized (ns)   Utilization
23    317   YES      74536573        0.15%
146   2     YES      74442086        0.15%
11    218   YES      74295239        0.15%
5     89    NO       74273324        0.15%
196   8     YES      74011927        0.15%
14    240   YES      73471076        0.15%
17    32    NO       73365495        0.15%
266   17    YES      72937911        0.15%
32    13    NO       72860956        0.15%
271   17    YES      72723905        0.15%
11    28    NO       72240112        0.14%
268   17    YES      71751137        0.14%
12    229   YES      71648749        0.14%
6     20    NO       71436520        0.14%
191   7     YES      71433792        0.14%
288   20    YES      71278534        0.14%
159   3     YES      70942659        0.14%
38    21    NO       70611668        0.14%
228   12    YES      70465608        0.14%
6     102   NO       70465240        0.14%
135   0     YES      70392260        0.14%
6     179   YES      70375138        0.14%
133   0     YES      70360658        0.14%
5     4     NO       70310780        0.14%
9     203   YES      70293349        0.14%
308   22    YES      70234801        0.14%
20    291   YES      70140164        0.14%
28    6     NO       70088523        0.14%
239   13    YES      69870117        0.14%
7     189   YES      69804313        0.14%
15    251   YES      69495885        0.14%
15    18    NO       69481128        0.14%
63    13    NO       69298947        0.14%
0     38    NO       69251030        0.14%
1     140   YES      69130195        0.14%
7     190   YES      69127383        0.14%
152   3     YES      68801922        0.14%
1     136   YES      68759815        0.14%
102   1     NO       68568265        0.14%
18    15    NO       68532735        0.14%
314   23    YES      68486201        0.14%
22    4     NO       68443108        0.14%
192   8     YES      68407246        0.14%
18    278   YES      68278496        0.14%
12    227   YES      68176383        0.14%
14    21    NO       68095167        0.14%
195   8     YES      67439979        0.13%
23    315   YES      67320012        0.13%
283   19    YES      67316973        0.13%
18    273   YES      67295465        0.13%
289   20    YES      67203683        0.13%
21    302   YES      67039551        0.13%
8     192   YES      66873808        0.13%
297   21    YES      66738187        0.13%
6     178   YES      66618994        0.13%
0     33    NO       66595700        0.13%
19    281   YES      66529947        0.13%
259   16    YES      66377709        0.13%
232   13    YES      66375804        0.13%
275   18    YES      66238096        0.13%
241   14    YES      66231863        0.13%
11    217   YES      66131521        0.13%
5     6     NO       66073176        0.13%
230   12    YES      65919275        0.13%
89    14    NO       65734007        0.13%
6     2     NO       65476705        0.13%
306   22    YES      65126300        0.13%
262   16    YES      65103967        0.13%
0     14    NO       64980538        0.13%
10    213   YES      64967497        0.13%
167   4     YES      64894096        0.13%
149   2     YES      64831234        0.13%
309   22    YES      64597203        0.13%
225   12    YES      64536959        0.13%
200   9     YES      64326192        0.13%
7     187   YES      64266361        0.13%
187   7     YES      64087177        0.13%
291   20    YES      64081088        0.13%
155   3     YES      63933091        0.13%
201   9     YES      63920023        0.13%
234   13    YES      63902106        0.13%
11    220   YES      63839669        0.13%
18    274   YES      63791887        0.13%
8     84    NO       63741107        0.13%
33    19    NO       63685976        0.13%
7     185   YES      63571775        0.13%
212   10    YES      62910242        0.13%
22    0     NO       62690274        0.13%
84    16    NO       62666500        0.13%
5     170   YES      62636995        0.13%
247   14    YES      62525420        0.13%
16    259   YES      62386196        0.12%
2     150   YES      62211371        0.12%
198   8     YES      62124965        0.12%
145   2     YES      62072827        0.12%
206   9     YES      62000808        0.12%
0     135   YES      61991132        0.12%
299   21    YES      61974467        0.12%
18    276   YES      61969217        0.12%
18    275   YES      61907619        0.12%
7     63    NO       61783624        0.12%
15    249   YES      61752676        0.12%
296   21    YES      61668982        0.12%
9     24    NO       61527156        0.12%
166   4     YES      61386018        0.12%
8     198   YES      61289139        0.12%
315   23    YES      61246761        0.12%
148   2     YES      61130543        0.12%
211   10    YES      61068064        0.12%
273   18    YES      60993784        0.12%
18    1     NO       60974856        0.12%
6     21    NO       60899620        0.12%
8     197   YES      60870440        0.12%
9     204   YES      60803416        0.12%
13    236   YES      60662596        0.12%
139   1     YES      60641011        0.12%
319   23    YES      60608697        0.12%
248   15    YES      60401408        0.12%
15    255   YES      60281791        0.12%
307   22    YES      60229420        0.12%
22    308   YES      60217680        0.12%
11    222   YES      60069400        0.12%
6     181   YES      60068980        0.12%
287   19    YES      60015227        0.12%
15    28    NO       59879488        0.12%
193   8     YES      59878975        0.12%
17    269   YES      59769680        0.12%
22    15    NO       59639151        0.12%
261   16    YES      59635735        0.12%
3     155   YES      59551496        0.12%
253   15    YES      59495657        0.12%
182   6     YES      59434630        0.12%
10    105   NO       59419505        0.12%
6     180   YES      59208488        0.12%
2     151   YES      59100288        0.12%
20    6     NO       59024936        0.12%
10    214   YES      58924930        0.12%
14    243   YES      58899498        0.12%
16    5     NO       58898768        0.12%
218   11    YES      58823144        0.12%
63    21    NO       58813831        0.12%
22    310   YES      58791287        0.12%
21    296   YES      58780261        0.12%
15    254   YES      58719310        0.12%
14    6     NO       58645353        0.12%
267   17    YES      58478890        0.12%
4     5     NO       58477924        0.12%
20    289   YES      58465114        0.12%
19    282   YES      58407594        0.12%
302   21    YES      58397219        0.12%
9     201   YES      58130822        0.12%
256   16    YES      58069024        0.12%
176   6     YES      58014208        0.12%
2     1     NO       57650622        0.12%
304   22    YES      57650517        0.12%
