non-persistent	100	0.49498762918568356
non-persistent	700	0.20632961754109352
non-persistent	200	0.4958393136480188
1-persistent	200	0.49645410537887413
1-persistent	1000	0.4994011406143285
non-persistent	400	0.4670712382677138
1-persistent	700	0.4978662142406806
1-persistent	4000	0.507209935549944
non-persistent	4000	0.46924856899281453
1-persistent	100	0.495888235373289
non-persistent	1000	0.4824766105946647
1-persistent	400	0.4970115456823864
1-persistent	2000	0.5029601001354116
non-persistent	2000	0.41984229921973115
