non-persistent	100	0.9868421055301144
non-persistent	700	0.954676724105401
non-persistent	200	0.9812178565343461
1-persistent	200	0.9827768365432362
1-persistent	1000	0.9537282828122268
non-persistent	400	0.9753005253588074
1-persistent	700	0.9661524591085233
1-persistent	4000	0.6495685782026438
non-persistent	4000	0.6844705050251543
1-persistent	100	0.984445758098853
non-persistent	1000	0.9528119864348588
1-persistent	400	0.9759112571363511
1-persistent	2000	0.9041386949271206
non-persistent	2000	0.897518361729817
