Src   Dst   Srvport  Utilized (ns)   Utilization
27    354   YES      18656072718     93.28%
355   27    YES      18508607258     92.54%
196   1196  YES      18435920310     92.18%
352   27    YES      18420176618     92.10%
27    353   YES      18337525454     91.69%
27    355   YES      18298339136     91.49%
1197  196   YES      18267174194     91.34%
1198  196   YES      18238106894     91.19%
354   27    YES      18119623482     90.60%
196   1199  YES      18115659498     90.58%
1200  196   YES      18083439754     90.42%
351   27    YES      18019581850     90.10%
196   1197  YES      17991900070     89.96%
1196  196   YES      17979748018     89.90%
196   1198  YES      17777827680     88.89%
196   1200  YES      17754513166     88.77%
27    351   YES      17629367328     88.15%
1199  196   YES      17558469830     87.79%
27    352   YES      17205548722     86.03%
353   27    YES      17007976514     85.04%
113   196   NO       12278369422     61.39%
196   113   NO       10776407680     53.88%
71    27    NO       10501211106     52.51%
27    49    NO       10112356752     50.56%
196   45    NO       9752857376      48.76%
49    27    NO       9615538982      48.08%
27    212   NO       9454154598      47.27%
212   27    NO       9058250496      45.29%
77    27    NO       8877240128      44.39%
145   196   NO       8794525200      43.97%
27    162   NO       8784285632      43.92%
27    71    NO       8605153488      43.03%
196   145   NO       8501191328      42.51%
27    77    NO       8452624390      42.26%
196   135   NO       8404852538      42.02%
73    196   NO       8304900902      41.52%
70    196   NO       8217011744      41.09%
135   196   NO       8146192486      40.73%
126   27    NO       8130067350      40.65%
196   107   NO       8107493110      40.54%
196   70    NO       8053057826      40.27%
196   73    NO       7956988830      39.78%
27    126   NO       7948311248      39.74%
45    196   NO       7896270278      39.48%
162   27    NO       7843516800      39.22%
107   196   NO       7842862048      39.21%
27    192   NO       7788954128      38.94%
121   27    NO       7707496736      38.54%
27    121   NO       7594683094      37.97%
30    196   NO       7535057952      37.68%
199   196   NO       7500445632      37.50%
152   27    NO       7493615238      37.47%
2     27    NO       7421083392      37.11%
196   30    NO       7379237584      36.90%
27    152   NO       7355825872      36.78%
196   199   NO       7330076144      36.65%
27    2     NO       7259896944      36.30%
196   15    NO       7155700858      35.78%
15    196   NO       7004685126      35.02%
192   27    NO       6920306448      34.60%
27    105   NO       6719711158      33.60%
196   173   NO       6709067536      33.55%
105   27    NO       6558569680      32.79%
173   196   NO       6555614352      32.78%
45    71    NO       4072375584      20.36%
162   113   NO       3283170848      16.42%
212   145   NO       3155632416      15.78%
49    113   NO       2983970800      14.92%
113   162   NO       2480790256      12.40%
145   212   NO       2479988864      12.40%
71    45    NO       2459964832      12.30%
113   49    NO       2245310720      11.23%
145   71    NO       2161283248      10.81%
71    145   NO       1877498818      9.39%
143   107   NO       1567943536      7.84%
192   153   NO       1519494736      7.60%
153   192   NO       1515338208      7.58%
107   143   NO       1461937840      7.31%
192   3     NO       1318321968      6.59%
59    212   NO       1296072448      6.48%
197   71    NO       1266102944      6.33%
3     192   NO       1250112416      6.25%
202   173   NO       1230436720      6.15%
56    121   NO       1225041024      6.13%
144   70    NO       1220959312      6.10%
135   87    NO       1205847264      6.03%
80    71    NO       1193650512      5.97%
173   202   NO       1190758096      5.95%
212   59    NO       1189939248      5.95%
61    126   NO       1188003826      5.94%
87    135   NO       1186614288      5.93%
165   73    NO       1181211536      5.91%
49    57    NO       1180583824      5.90%
77    54    NO       1177894112      5.89%
149   73    NO       1173588000      5.87%
84    30    NO       1166446944      5.83%
57    49    NO       1166181344      5.83%
56    199   NO       1163076048      5.82%
142   49    NO       1154542496      5.77%
54    77    NO       1148555008      5.74%
209   30    NO       1145709200      5.73%
117   45    NO       1144803456      5.72%
118   77    NO       1142886800      5.71%
121   56    NO       1137775856      5.69%
213   77    NO       1131606912      5.66%
51    152   NO       1131377040      5.66%
77    213   NO       1128117584      5.64%
