Src   Dst   Srvport  Utilized (ns)   Utilization
5     171   YES      10719226        0.11%
217   11    YES      10650716        0.11%
173   5     YES      10642387        0.11%
260   16    YES      10641085        0.11%
11    218   YES      10625839        0.11%
277   18    YES      10620486        0.11%
152   3     YES      10589335        0.11%
2     146   YES      10563415        0.11%
4     5     NO       10561663        0.11%
14    246   YES      10560855        0.11%
13    237   YES      10546518        0.11%
297   21    YES      10426250        0.10%
19    285   YES      10409754        0.10%
160   4     YES      10398086        0.10%
319   23    YES      10376625        0.10%
274   18    YES      10372915        0.10%
290   20    YES      10371188        0.10%
253   15    YES      10283756        0.10%
6     177   YES      10154957        0.10%
5     4     NO       10152313        0.10%
272   18    YES      10123048        0.10%
129   0     YES      10084750        0.10%
11    216   YES      10041734        0.10%
238   13    YES      9973360         0.10%
7     186   YES      9925830         0.10%
10    208   YES      9842142         0.10%
5     16    NO       9812444         0.10%
230   12    YES      9718172         0.10%
206   9     YES      9708754         0.10%
14    240   YES      9683261         0.10%
19    280   YES      9655202         0.10%
3     19    NO       9638163         0.10%
5     6     NO       9590538         0.10%
8     198   YES      9580261         0.10%
9     206   YES      9563273         0.10%
9     200   YES      9544183         0.10%
21    301   YES      9534392         0.10%
222   11    YES      9522509         0.10%
7     189   YES      9510374         0.10%
14    22    NO       9508340         0.10%
0     14    NO       9500619         0.10%
259   16    YES      9489671         0.09%
17    1     NO       9451901         0.09%
5     174   YES      9424390         0.09%
309   22    YES      9419420         0.09%
248   15    YES      9401150         0.09%
2     1     NO       9385274         0.09%
10    212   YES      9361406         0.09%
151   2     YES      9337309         0.09%
245   14    YES      9260971         0.09%
15    255   YES      9249557         0.09%
306   22    YES      9214678         0.09%
212   10    YES      9183318         0.09%
1     136   YES      9178067         0.09%
3     157   YES      9174106         0.09%
22    4     NO       9122973         0.09%
12    25    NO       9085083         0.09%
25    17    NO       9065319         0.09%
288   20    YES      9053908         0.09%
203   9     YES      9028962         0.09%
14    247   YES      9009619         0.09%
1     18    NO       8988844         0.09%
81    11    NO       8971821         0.09%
12    9     NO       8945313         0.09%
180   6     YES      8944539         0.09%
291   20    YES      8937716         0.09%
18    7     NO       8924567         0.09%
201   9     YES      8922521         0.09%
16    263   YES      8911261         0.09%
19    283   YES      8906668         0.09%
171   5     YES      8898890         0.09%
210   10    YES      8840091         0.09%
12    231   YES      8831785         0.09%
193   8     YES      8761988         0.09%
20    292   YES      8755055         0.09%
20    6     NO       8730975         0.09%
308   22    YES      8723127         0.09%
3     152   YES      8709843         0.09%
174   5     YES      8669100         0.09%
50    21    NO       8627930         0.09%
18    272   YES      8612406         0.09%
159   3     YES      8583342         0.09%
