0,649,407,7049,7049,0,194342,194342,TRUE
1,1137,736,10682,10682,571258,758324,187066,TRUE
2,733,710,7250,7250,1036160,1192380,156220,TRUE
3,145,546,28043,28043,2878111,3521891,643780,TRUE
4,1062,978,20559,20559,3215022,4104351,889329,TRUE
5,1005,259,31520,31520,5242092,5859692,617600,TRUE
6,719,654,8948,8948,6517561,6688325,170764,TRUE
7,342,192,32902,32902,8738089,9116805,378716,TRUE
8,1025,469,10280,10280,11141665,11338145,196480,TRUE
9,919,301,5433,5433,12446937,12706123,259186,TRUE
10,622,1080,6310,6310,14708175,14868905,160730,TRUE
11,139,157,13903,13903,15314653,15528897,214244,TRUE
12,219,647,5632,5632,15800935,15972591,171656,TRUE
13,726,886,6016,6016,17033519,17206807,173288,TRUE
14,313,822,5303,5303,19632967,19864225,231258,TRUE
15,394,404,5597,5597,20638052,20752188,114136,TRUE
16,423,1101,33176,33176,22228273,23424043,1195770,TRUE
17,1132,250,43219,43219,22672907,23779763,1106856,TRUE
18,342,225,8992,8992,22823242,22938558,115316,TRUE
19,395,828,12044,12044,23481370,24036265,554895,TRUE
20,868,747,8017,8017,23774195,24032139,257944,TRUE
21,377,222,16225,16225,24368836,24688956,320120,TRUE
22,777,160,31426,31426,25668980,26261468,592488,TRUE
23,1025,816,6094,6094,26263434,26409446,146012,TRUE
24,131,911,6581,6581,27821033,27998841,177808,TRUE
25,653,1095,11962,11962,28125696,28322492,196796,TRUE
26,861,353,6979,6979,28547744,28659226,111482,TRUE
27,744,1057,10046,10046,30418506,30714394,295888,TRUE
28,942,367,6789,6789,30455396,30686308,230912,TRUE
29,813,802,134949,134949,31646943,33665155,2018212,TRUE
30,278,737,15930,15930,31851011,32583583,732572,TRUE
31,564,452,11857,11857,33775641,34227817,452176,TRUE
32,931,534,4960,4960,35207589,35303669,96080,TRUE
33,462,568,9269,9269,36056419,36231691,175272,TRUE
34,152,495,17859,17859,38690993,38910905,219912,TRUE
35,871,1102,19429,19429,38768905,39327577,558672,TRUE
36,559,831,37342,37342,38840798,39230974,390176,TRUE
37,705,1091,6528,6528,40655215,40805419,150204,TRUE
38,522,495,8819,8819,40971038,41084970,113932,TRUE
39,940,1049,46416,46416,41340325,41836753,496428,TRUE
40,302,795,6351,6351,42625000,42799518,174518,TRUE
41,415,278,97987,97987,42693269,44467576,1774307,TRUE
42,878,442,10446,10446,43225866,44492826,1266960,TRUE
43,961,291,5652,5652,45584440,45755536,171096,TRUE
44,1017,670,9065,9065,46218332,46491962,273630,TRUE
45,192,234,9102,9102,46317745,46629482,311737,TRUE
46,781,307,6775,6775,48484768,48771018,286250,TRUE
47,754,170,9416,9416,50520096,50694604,174508,TRUE
48,769,603,48684,48684,51361609,52147401,785792,TRUE
49,512,728,13886,13886,52233808,52481696,247888,TRUE
50,552,865,7807,7807,52803022,52993288,190266,TRUE
51,159,233,5450,5450,54369821,54536981,167160,TRUE
52,965,875,40718,40718,56395249,57888347,1493098,TRUE
53,477,895,101912,101912,58471893,59663189,1191296,TRUE
54,259,1073,6888,6888,58943901,59753525,809624,TRUE
55,1098,649,7033,7033,60075206,60406800,331594,TRUE
56,634,469,61045,61045,61409617,63063607,1653990,TRUE
57,605,636,9172,9172,62660761,62861217,200456,TRUE
58,763,478,5433,5433,64786985,64923965,136980,TRUE
59,1031,200,6004,6004,66583880,66729172,145292,TRUE
60,132,595,25563,25563,66613696,66928900,315204,TRUE
61,853,190,10691,10691,66702767,66904405,201638,TRUE
62,388,482,5240,5240,71641033,71771733,130700,TRUE
63,169,222,7256,7256,71804537,72119195,314658,TRUE
64,1084,712,5899,5899,74121068,74366650,245582,TRUE
65,825,1127,5969,5969,76144844,76318476,173632,TRUE
66,1083,755,71968,71968,79263831,80746805,1482974,TRUE
67,204,546,10232,10232,79768802,80530661,761859,TRUE
68,779,1054,4841,4841,81536595,81715835,179240,TRUE
69,599,999,6577,6577,83698375,84041285,342910,TRUE
70,549,343,138629,138629,84277380,86874198,2596818,TRUE
71,530,525,17442,17442,85012517,87100870,2088353,TRUE
72,562,145,24317,24317,85807775,87144656,1336881,TRUE
73,658,817,5440,5440,86505756,86835382,329626,TRUE
74,638,715,8136,8136,87710121,87817629,107508,TRUE
75,582,174,6538,6538,88234208,88629544,395336,TRUE
76,271,1079,8645,8645,89983880,92140800,2156920,TRUE
77,611,224,8192,8192,90042894,91726700,1683806,TRUE
78,1006,360,9612,9612,90631043,91160300,529257,TRUE
79,390,578,4811,4811,90734001,91005886,271885,TRUE
80,581,646,21644,21644,90771609,92159472,1387863,TRUE
81,217,912,5405,5405,90905242,91435270,530028,TRUE
82,1128,956,6746,6746,91225238,92474540,1249302,TRUE
