Src   Dst   Srvport  Utilized (ns)   Utilization
13    235   YES      179927603       0.36%
63    13    NO       160403983       0.32%
7     63    NO       155718353       0.31%
235   13    YES      136293928       0.27%
185   7     YES      131178329       0.26%
22    4     NO       107261041       0.21%
7     185   YES      90172761        0.18%
13    120   NO       76887739        0.15%
120   7     NO       73856349        0.15%
11    113   NO       45758897        0.09%
0     133   YES      34861626        0.07%
113   0     NO       27360103        0.05%
5     174   YES      26229648        0.05%
89    5     NO       24959992        0.05%
217   11    YES      24801050        0.05%
133   0     YES      24586547        0.05%
199   8     YES      23574858        0.05%
8     89    NO       21162666        0.04%
174   5     YES      20313223        0.04%
113   13    NO       18276363        0.04%
4     167   YES      17949218        0.04%
223   11    YES      17807273        0.04%
3     152   YES      17552701        0.04%
159   3     YES      17358953        0.03%
152   3     YES      16908053        0.03%
9     3     NO       16886911        0.03%
22    310   YES      16844346        0.03%
236   13    YES      16643710        0.03%
6     182   YES      16470136        0.03%
11    217   YES      16099963        0.03%
8     22    NO       15987021        0.03%
8     199   YES      15362671        0.03%
37    4     NO       15073897        0.03%
200   9     YES      14986235        0.03%
195   8     YES      14683843        0.03%
167   4     YES      14360305        0.03%
182   6     YES      13666068        0.03%
16    37    NO       13606354        0.03%
0     38    NO       12769376        0.03%
11    223   YES      12590638        0.03%
38    11    NO       12381547        0.02%
233   13    YES      12350231        0.02%
257   16    YES      12224597        0.02%
13    236   YES      11932450        0.02%
310   22    YES      11787899        0.02%
9     207   YES      11665644        0.02%
18    277   YES      11535310        0.02%
207   9     YES      11508761        0.02%
277   18    YES      11497792        0.02%
28    6     NO       11390969        0.02%
5     72    NO       11375558        0.02%
13    28    NO       11016320        0.02%
8     195   YES      10731806        0.02%
9     200   YES      10257147        0.02%
4     5     NO       10110766        0.02%
23    94    NO       9974979         0.02%
72    8     NO       9913915         0.02%
21    298   YES      9830144         0.02%
6     9     NO       9636833         0.02%
1     18    NO       9340147         0.02%
11    219   YES      9250992         0.02%
6     2     NO       8969331         0.02%
13    117   NO       8894282         0.02%
6     179   YES      8726986         0.02%
8     6     NO       8620519         0.02%
108   23    NO       8606645         0.02%
12    225   YES      8572841         0.02%
3     9     NO       8547851         0.02%
20    6     NO       8512517         0.02%
117   11    NO       8464565         0.02%
17    1     NO       8254943         0.02%
16    257   YES      8254130         0.02%
22    8     NO       8135192         0.02%
14    244   YES      7962898         0.02%
23    319   YES      7950237         0.02%
267   17    YES      7931551         0.02%
219   11    YES      7926844         0.02%
5     16    NO       7904221         0.02%
18    273   YES      7900708         0.02%
17    21    NO       7817494         0.02%
179   6     YES      7790007         0.02%
22    307   YES      7788274         0.02%
21    301   YES      7711786         0.02%
270   17    YES      7621352         0.02%
192   8     YES      7601214         0.02%
173   5     YES      7587485         0.02%
8     192   YES      7560911         0.02%
319   23    YES      7504092         0.02%
280   19    YES      7209714         0.01%
10    212   YES      7207606         0.01%
253   15    YES      7179079         0.01%
298   21    YES      7128723         0.01%
288   20    YES      7078881         0.01%
212   10    YES      6952640         0.01%
273   18    YES      6793384         0.01%
21    303   YES      6716302         0.01%
135   0     YES      6590212         0.01%
184   7     YES      6572497         0.01%
15    254   YES      6570276         0.01%
303   21    YES      6425256         0.01%
5     173   YES      6419322         0.01%
19    284   YES      6413890         0.01%
14    246   YES      6210849         0.01%
14    41    NO       6167235         0.01%
2     6     NO       6125849         0.01%
180   6     YES      6120519         0.01%
1     138   YES      6119552         0.01%
7     184   YES      6026571         0.01%
2     1     NO       5989433         0.01%
240   14    YES      5901747         0.01%
6     8     NO       5900210         0.01%
274   18    YES      5819216         0.01%
183   6     YES      5818915         0.01%
6     178   YES      5802974         0.01%
20    288   YES      5788095         0.01%
5     169   YES      5762909         0.01%
10    215   YES      5754614         0.01%
203   9     YES      5752126         0.01%
301   21    YES      5720628         0.01%
124   15    NO       5714482         0.01%
96    14    NO       5658556         0.01%
169   5     YES      5629475         0.01%
166   4     YES      5626111         0.01%
23    317   YES      5617666         0.01%
17    267   YES      5594722         0.01%
102   13    NO       5561306         0.01%
44    5     NO       5557025         0.01%
9     203   YES      5503862         0.01%
244   14    YES      5470829         0.01%
9     43    NO       5416093         0.01%
214   10    YES      5386411         0.01%
6     102   NO       5355243         0.01%
254   15    YES      5347102         0.01%
138   1     YES      5328134         0.01%
18    20    NO       5278246         0.01%
6     180   YES      5223870         0.01%
134   0     YES      5216134         0.01%
0     135   YES      5181614         0.01%
246   14    YES      5167937         0.01%
17    270   YES      5157353         0.01%
19    117   NO       5080662         0.01%
10    214   YES      5043114         0.01%
302   21    YES      5000146         0.01%
251   15    YES      4985436         0.01%
225   12    YES      4976948         0.01%
148   2     YES      4970408         0.01%
21    17    NO       4969736         0.01%
43    20    NO       4962054         0.01%
284   19    YES      4938081         0.01%
230   12    YES      4933357         0.01%
289   20    YES      4919051         0.01%
19    280   YES      4898767         0.01%
171   5     YES      4877165         0.01%
168   5     YES      4856521         0.01%
307   22    YES      4850069         0.01%
295   20    YES      4798830         0.01%
117   18    NO       4747216         0.01%
41    10    NO       4742495         0.01%
158   3     YES      4738452         0.01%
7     189   YES      4698252         0.01%
4     162   YES      4642861         0.01%
5     96    NO       4629742         0.01%
198   8     YES      4616014         0.01%
14    19    NO       4606648         0.01%
150   2     YES      4560558         0.01%
10    105   NO       4543937         0.01%
21    50    NO       4523972         0.01%
5     124   NO       4521188         0.01%
22    309   YES      4518697         0.01%
145   2     YES      4516665         0.01%
157   3     YES      4466838         0.01%
279   18    YES      4464142         0.01%
178   6     YES      4453103         0.01%
238   13    YES      4441621         0.01%
13    16    NO       4411440         0.01%
139   1     YES      4363748         0.01%
228   12    YES      4336949         0.01%
19    3     NO       4326347         0.01%
3     158   YES      4309190         0.01%
151   2     YES      4297902         0.01%
297   21    YES      4297373         0.01%
156   3     YES      4244035         0.01%
20    19    NO       4228720         0.01%
55    18    NO       4223339         0.01%
261   16    YES      4208076         0.01%
13    238   YES      4194779         0.01%
234   13    YES      4190100         0.01%
15    253   YES      4153801         0.01%
8     197   YES      4150498         0.01%
105   11    NO       4111365         0.01%
20    289   YES      4075709         0.01%
181   6     YES      4055132         0.01%
189   7     YES      4015137         0.01%
6     183   YES      4005108         0.01%
2     148   YES      4004161         0.01%
162   4     YES      4002804         0.01%
20    295   YES      4001575         0.01%
16    0     NO       3926968         0.01%
20    17    NO       3925576         0.01%
197   8     YES      3916037         0.01%
23    315   YES      3911158         0.01%
16    262   YES      3901142         0.01%
313   23    YES      3888994         0.01%
23    312   YES      3881641         0.01%
215   10    YES      3872269         0.01%
245   14    YES      3857501         0.01%
292   20    YES      3857189         0.01%
282   19    YES      3839179         0.01%
149   2     YES      3835944         0.01%
315   23    YES      3811813         0.01%
132   0     YES      3808182         0.01%
3     153   YES      3795314         0.01%
10    9     NO       3791171         0.01%
312   23    YES      3783103         0.01%
12    230   YES      3782826         0.01%
10    210   YES      3776798         0.01%
4     47    NO       3760286         0.01%
191   7     YES      3752580         0.01%
2     150   YES      3736323         0.01%
316   23    YES      3724345         0.01%
165   4     YES      3713505         0.01%
1     139   YES      3707308         0.01%
4     19    NO       3685488         0.01%
227   12    YES      3676321         0.01%
5     6     NO       3666946         0.01%
19    14    NO       3665630         0.01%
232   13    YES      3625768         0.01%
242   14    YES      3623724         0.01%
210   10    YES      3596859         0.01%
211   10    YES      3590099         0.01%
12    228   YES      3587635         0.01%
64    19    NO       3586027         0.01%
