FlowId     Src   Dst   Sent (byte)  Total (byte) Duration (ms)  Progress  
150        3     2     4769         4769         0.03           100.00%
151        3     2     7557         7557         0.05           100.00%
152        2     3     19779        19779        0.11           100.00%
153        3     2     110041       110041       0.51           100.00%
154        2     3     6070         6070         0.04           100.00%
155        3     2     5878         5878         0.05           100.00%
156        3     2     5406         5406         0.04           100.00%
157        2     3     13537        13537        0.08           100.00%
158        3     2     4847         4847         0.03           100.00%
159        3     2     6442         6442         0.04           100.00%
160        2     3     20974        20974        0.14           100.00%
161        2     3     5037         5037         0.04           100.00%
162        2     3     5997         5997         0.05           100.00%
163        3     2     5135         5135         0.03           100.00%
164        2     3     7735         7735         0.06           100.00%
165        2     3     21669        21669        0.15           100.00%
166        2     3     15260        15260        0.09           100.00%
167        3     2     5340         5340         0.04           100.00%
168        2     3     7853         7853         0.05           100.00%
169        2     3     8367         8367         0.06           100.00%
170        2     3     5142         5142         0.03           100.00%
171        3     2     23884        23884        0.16           100.00%
172        3     2     5482         5482         0.03           100.00%
173        3     2     7092         7092         0.05           100.00%
174        3     2     5044         5044         0.04           100.00%
175        2     3     46021        46021        0.23           100.00%
176        3     2     13584        13584        0.08           100.00%
177        3     2     14477        14477        0.09           100.00%
178        3     2     18625        18625        0.11           100.00%
179        2     3     32121        32121        0.20           100.00%
180        3     2     5012         5012         0.04           100.00%
181        2     3     30685        30685        0.15           100.00%
182        2     3     13871        13871        0.09           100.00%
183        3     2     5838         5838         0.04           100.00%
184        3     2     13967        13967        0.09           100.00%
185        2     3     5653         5653         0.05           100.00%
186        2     3     41555        41555        0.27           100.00%
187        3     2     11901        11901        0.06           100.00%
188        3     2     5021         5021         0.03           100.00%
189        3     2     12797        12797        0.10           100.00%
190        3     2     6113         6113         0.05           100.00%
191        3     2     5187         5187         0.03           100.00%
192        3     2     53771        53771        0.28           100.00%
193        3     2     7872         7872         0.06           100.00%
194        2     3     9101         9101         0.05           100.00%
195        2     3     9424         9424         0.06           100.00%
196        3     2     5459         5459         0.03           100.00%
197        2     3     4770         4770         0.04           100.00%
198        2     3     16444        16444        0.10           100.00%
199        2     3     14907        14907        0.09           100.00%
200        2     3     11592        11592        0.07           100.00%
201        3     2     176234       176234       0.81           100.00%
202        2     3     42631        42631        0.23           100.00%
203        3     2     11758        11758        0.07           100.00%
204        3     2     7744         7744         0.05           100.00%
205        3     2     8715         8715         0.06           100.00%
206        3     2     5850         5850         0.04           100.00%
207        2     3     7041         7041         0.05           100.00%
208        2     3     86880        86880        0.42           100.00%
209        2     3     65206        65206        0.35           100.00%
210        3     2     5354         5354         0.03           100.00%
211        2     3     8881         8881         0.06           100.00%
212        2     3     9850         9850         0.06           100.00%
213        2     3     10311        10311        0.06           100.00%
214        2     3     6727         6727         0.04           100.00%
215        2     3     13570        13570        0.08           100.00%
216        2     3     5052         5052         0.04           100.00%
217        2     3     31717        31717        0.19           100.00%
218        3     2     6393         6393         0.05           100.00%
219        3     2     29668        29668        0.19           100.00%
220        3     2     13771        13771        0.09           100.00%
221        2     3     5527         5527         0.04           100.00%
222        3     2     5290         5290         0.04           100.00%
223        3     2     17841        17841        0.10           100.00%
224        2     3     17948        17948        0.10           100.00%
225        2     3     65416        65416        0.34           100.00%
226        3     2     24174        24174        0.15           100.00%
227        2     3     8531         8531         0.05           100.00%
228        3     2     8859         8859         0.06           100.00%
229        2     3     11500        11500        0.07           100.00%
230        2     3     22431        22431        0.14           100.00%
231        3     2     12142        12142        0.08           100.00%
232        3     2     9300         9300         0.06           100.00%
233        3     2     8742         8742         0.05           100.00%
234        3     2     32573        32573        0.16           100.00%
235        2     3     125602       125602       0.65           100.00%
236        3     2     53588        53588        0.31           100.00%
237        3     2     6611         6611         0.04           100.00%
238        2     3     6860         6860         0.04           100.00%
239        3     2     30013        30013        0.18           100.00%
240        3     2     7526         7526         0.05           100.00%
241        3     2     4905         4905         0.03           100.00%
242        3     2     10351        10351        0.07           100.00%
243        3     2     55088        55088        0.31           100.00%
244        2     3     4793         4793         0.03           100.00%
245        2     3     116233       116233       0.51           100.00%
246        2     3     4912         4912         0.04           100.00%
247        3     2     5864         5864         0.04           100.00%
248        2     3     10888        10888        0.07           100.00%
249        2     3     62802        62802        0.31           100.00%
250        2     3     8769         8769         0.06           100.00%
251        2     3     5510         5510         0.04           100.00%
252        3     2     9180         9180         0.06           100.00%
253        3     2     6762         6762         0.04           100.00%
254        2     3     94502        94502        0.45           100.00%
255        3     2     6926         6926         0.05           100.00%
256        2     3     4764         4764         0.03           100.00%
257        2     3     21554        21554        0.15           100.00%
258        3     2     10525        10525        0.06           100.00%
259        2     3     51541        51541        0.27           100.00%
260        3     2     7302         7302         0.05           100.00%
261        3     2     10462        10462        0.06           100.00%
262        2     3     6305         6305         0.04           100.00%
263        2     3     6462         6462         0.05           100.00%
264        3     2     94794        94794        0.50           100.00%
265        2     3     8235         8235         0.05           100.00%
266        3     2     69626        69626        0.36           100.00%
267        2     3     5014         5014         0.03           100.00%
268        3     2     8701         8701         0.05           100.00%
269        2     3     723475       723475       3.13           100.00%
270        2     3     24383        24383        0.14           100.00%
271        3     2     4783         4783         0.04           100.00%
272        3     2     59099        59099        0.30           100.00%
273        3     2     6506         6506         0.04           100.00%
274        2     3     11122        11122        0.08           100.00%
275        3     2     9433         9433         0.06           100.00%
276        3     2     22586        22586        0.15           100.00%
277        3     2     14004        14004        0.09           100.00%
278        2     3     7226         7226         0.05           100.00%
279        3     2     6517         6517         0.05           100.00%
280        3     2     252498       252498       1.15           100.00%
281        3     2     5082         5082         0.03           100.00%
282        2     3     35224        35224        0.18           100.00%
283        2     3     6235         6235         0.04           100.00%
284        3     2     5890         5890         0.04           100.00%
285        2     3     23781        23781        0.12           100.00%
286        3     2     5640         5640         0.04           100.00%
287        3     2     18739        18739        0.11           100.00%
