0,17,9,5592,5592,0,45574,45574,TRUE
1,11,3,6209,6209,4368866,4416767,47901,TRUE
2,11,5,6249,6249,13224130,13274734,50604,TRUE
3,6,10,9276,9276,13768860,13861504,92644,TRUE
4,4,12,9791,9791,22162271,22248619,86348,TRUE
5,5,17,43848,43848,23782830,24091542,308712,TRUE
6,15,2,12096,12096,26232202,26319612,87410,TRUE
7,12,2,9072,9072,33511695,33600405,88710,TRUE
8,4,15,12774,12774,41793313,41891864,98551,TRUE
9,11,9,5668,5668,53969398,54020686,51288,TRUE
10,15,3,5088,5088,68915080,68956742,41662,TRUE
11,3,14,5493,5493,80362616,80400278,37662,TRUE
12,12,5,11049,11049,93519380,93613735,94355,TRUE
13,13,4,8589,8589,98901466,98980286,78820,TRUE
14,17,3,23685,23685,110270688,110477896,207208,TRUE
15,7,13,5209,5209,112838048,112876184,38136,TRUE
16,3,17,29597,29597,171916185,172199660,283475,TRUE
17,3,14,5860,5860,179486277,179531485,45208,TRUE
18,13,4,8455,8455,189765374,189832070,66696,TRUE
19,7,15,18056,18056,196979455,197146715,167260,TRUE
20,11,6,6295,6295,203497680,203549606,51926,TRUE
21,2,13,18605,18605,208639158,208777610,138452,TRUE
22,10,3,5131,5131,211042102,211082498,40396,TRUE
23,14,3,8155,8155,240351145,240410407,59262,TRUE
24,7,12,5483,5483,245023267,245058733,35466,TRUE
25,11,3,5409,5409,246664982,246709141,44159,TRUE
26,3,14,11542,11542,248839869,248928962,89093,TRUE
27,14,5,12652,12652,250022992,250136180,113188,TRUE
28,10,5,22544,22544,266570262,266751507,181245,TRUE
29,17,6,8041,8041,278494410,278561146,66736,TRUE
30,8,16,11588,11588,292904957,293018767,113810,TRUE
31,15,9,9301,9301,314511306,314586872,75566,TRUE
32,15,6,20464,20464,318258633,318428761,170128,TRUE
33,5,10,6107,6107,322612251,322657595,45344,TRUE
34,8,14,38269,38269,329998884,330311900,313016,TRUE
35,3,11,8175,8175,360214637,360286423,71786,TRUE
36,13,8,10087,10087,380397388,380483537,86149,TRUE
37,11,9,7322,7322,384008517,384063187,54670,TRUE
38,3,10,18587,18587,397700965,397869834,168869,TRUE
39,14,4,4853,4853,415124937,415167483,42546,TRUE
40,10,2,6035,6035,450983731,451040579,56848,TRUE
41,14,2,4934,4934,452536497,452578544,42047,TRUE
42,2,14,4795,4795,462965895,463001277,35382,TRUE
43,17,5,5198,5198,468455140,468487908,32768,TRUE
44,6,11,243972,243972,478851643,480692261,1840618,TRUE
45,12,4,4838,4838,485721074,485755470,34396,TRUE
46,6,10,7132,7132,499055591,499104531,48940,TRUE
47,9,15,6037,6037,507358959,507405990,47031,TRUE
48,15,8,79583,79583,533643483,534213361,569878,TRUE
49,13,3,5405,5405,536880162,536922398,42236,TRUE
50,14,7,10290,10290,537852909,537942979,90070,TRUE
51,11,5,24078,24078,543472813,543642689,169876,TRUE
52,12,5,13912,13912,545065521,545191805,126284,TRUE
53,15,9,55456,55456,556015931,556453039,437108,TRUE
54,15,8,7290,7290,571896117,571957303,61186,TRUE
55,5,16,21899,21899,571947794,572115916,168122,TRUE
56,10,3,23087,23087,572477558,572689959,212401,TRUE
57,17,5,23084,23084,574110890,574298908,188018,TRUE
58,2,17,16577,16577,586365511,586491432,125921,TRUE
59,9,10,8679,8679,608851413,608934375,82962,TRUE
60,4,11,18828,18828,623108113,623292977,184864,TRUE
61,15,6,50111,50111,624303080,624782912,479832,TRUE
62,17,4,7208,7208,629174475,629224407,49932,TRUE
63,16,7,24361,24361,637733413,637962097,228684,TRUE
64,5,14,408172,408172,645199023,648152471,2953448,TRUE
65,15,8,6822,6822,651185499,651232515,47016,TRUE
66,14,5,24785,24785,652169273,652364903,195630,TRUE
67,11,5,13269,13269,654318969,654421616,102647,TRUE
68,8,10,182080,182080,659073879,660485119,1411240,TRUE
69,15,3,31183,31183,667183859,667475989,292130,TRUE
70,10,2,7216,7216,675831937,675889109,57172,TRUE
71,16,5,7069,7069,680724258,680779347,55089,TRUE
72,10,4,39564,39564,701604339,701928063,323724,TRUE
73,5,13,20820,20820,711322436,711478244,155808,TRUE
74,3,14,19842,19842,723917479,724198694,281215,TRUE
75,16,5,16526,16526,728005749,728150365,144616,TRUE
76,3,13,11334,11334,735195496,735303147,107651,TRUE
77,12,5,16366,16366,751105180,751291958,186778,TRUE
78,2,12,5196,5196,751171654,751263050,91396,TRUE
79,5,16,5364,5364,754919422,754958241,38819,TRUE
80,15,3,17870,17870,765684902,765820714,135812,TRUE
81,13,4,6393,6393,766140937,766189519,48582,TRUE
82,9,11,45126,45126,772835885,773421301,585416,TRUE
83,4,11,6384,6384,778144564,778201744,57180,TRUE
84,7,16,12773,12773,783297354,783380226,82872,TRUE
85,15,5,7908,7908,799248062,799315174,67112,TRUE
86,8,10,45983,45983,812956861,813395537,438676,TRUE
87,11,2,11550,11550,834618997,834712311,93314,TRUE
88,12,9,13262,13262,836834917,836930451,95534,TRUE
89,15,2,8371,8371,843931251,844005907,74656,TRUE
90,17,7,11326,11326,849763337,849858399,95062,TRUE
91,5,13,19517,19517,859345443,859511593,166150,TRUE
92,13,7,6886,6886,882740047,882795047,55000,TRUE
93,16,4,11659,11659,884267838,884390502,122664,TRUE
94,4,11,13013,13013,885280856,885390052,109196,TRUE
95,6,12,5393,5393,897309439,897351763,42324,TRUE
96,8,11,7237,7237,904190270,904248138,57868,TRUE
97,15,8,32699,32699,908342406,908658380,315974,TRUE
98,8,13,10493,10493,923919786,923998594,78808,TRUE
99,10,5,19793,19793,945049592,945186908,137316,TRUE
