Src   Dst   Srvport  Utilized (ns)   Utilization
94    14    NO       17044470        0.03%
18    272   YES      17035192        0.03%
227   12    YES      17034779        0.03%
9     6     NO       16980842        0.03%
275   18    YES      16953028        0.03%
6     180   YES      16937133        0.03%
189   7     YES      16919943        0.03%
19    94    NO       16919110        0.03%
2     148   YES      16918736        0.03%
21    303   YES      16884676        0.03%
6     179   YES      16837953        0.03%
220   11    YES      16831904        0.03%
1     3     NO       16815568        0.03%
211   10    YES      16806464        0.03%
12    224   YES      16787464        0.03%
17    265   YES      16773921        0.03%
19    286   YES      16764414        0.03%
7     191   YES      16763747        0.03%
28    6     NO       16720840        0.03%
193   8     YES      16699424        0.03%
293   20    YES      16663230        0.03%
7     17    NO       16616765        0.03%
248   15    YES      16616306        0.03%
158   3     YES      16603907        0.03%
234   13    YES      16554419        0.03%
3     15    NO       16544935        0.03%
19    121   NO       16509270        0.03%
21    17    NO       16504949        0.03%
3     159   YES      16400010        0.03%
14    99    NO       16258831        0.03%
22    305   YES      16243337        0.03%
96    15    NO       16190943        0.03%
16    0     NO       16183680        0.03%
100   5     NO       16145902        0.03%
0     16    NO       16100420        0.03%
0     108   NO       16082912        0.03%
0     132   YES      15924597        0.03%
20    4     NO       15919076        0.03%
20    17    NO       15895652        0.03%
9     201   YES      15843705        0.03%
294   20    YES      15828806        0.03%
2     146   YES      15824425        0.03%
4     13    NO       15807286        0.03%
22    8     NO       15796251        0.03%
7     190   YES      15776314        0.03%
202   9     YES      15774274        0.03%
94    17    NO       15677749        0.03%
106   15    NO       15675094        0.03%
258   16    YES      15603444        0.03%
1     100   NO       15602641        0.03%
166   4     YES      15544374        0.03%
20    291   YES      15518986        0.03%
21    23    NO       15505826        0.03%
181   6     YES      15505794        0.03%
250   15    YES      15357780        0.03%
5     72    NO       15340861        0.03%
18    118   NO       15325997        0.03%
23    317   YES      15272469        0.03%
19    116   NO       15158968        0.03%
131   0     YES      15113102        0.03%
18    275   YES      15046037        0.03%
2     96    NO       15021696        0.03%
9     205   YES      15002625        0.03%
17    21    NO       14911206        0.03%
8     6     NO       14910333        0.03%
17    7     NO       14898170        0.03%
318   23    YES      14897674        0.03%
6     8     NO       14860800        0.03%
5     172   YES      14830018        0.03%
23    315   YES      14786449        0.03%
20    1     NO       14762792        0.03%
59    6     NO       14724788        0.03%
5     17    NO       14663869        0.03%
196   8     YES      14663745        0.03%
7     29    NO       14651322        0.03%
15    249   YES      14650483        0.03%
6     20    NO       14643713        0.03%
3     156   YES      14635464        0.03%
13    233   YES      14578187        0.03%
8     197   YES      14518447        0.03%
7     189   YES      14500695        0.03%
15    3     NO       14495939        0.03%
10    211   YES      14465899        0.03%
159   3     YES      14447759        0.03%
9     202   YES      14438084        0.03%
23    104   NO       14416431        0.03%
23    314   YES      14408504        0.03%
256   16    YES      14397049        0.03%
297   21    YES      14393632        0.03%
3     59    NO       14361595        0.03%
13    18    NO       14361342        0.03%
23    10    NO       14356206        0.03%
11    15    NO       14342700        0.03%
19    284   YES      14186484        0.03%
12    2     NO       14104916        0.03%
18    20    NO       14010668        0.03%
9     10    NO       13999953        0.03%
2     150   YES      13944097        0.03%
15    248   YES      13907537        0.03%
16    50    NO       13899654        0.03%
19    20    NO       13899395        0.03%
13    15    NO       13889956        0.03%
20    289   YES      13808275        0.03%
4     19    NO       13807055        0.03%
7     122   NO       13801574        0.03%
262   16    YES      13748675        0.03%
20    18    NO       13690762        0.03%
1     24    NO       13683092        0.03%
19    280   YES      13640032        0.03%
6     2     NO       13593546        0.03%
10    209   YES      13571934        0.03%
204   9     YES      13567806        0.03%
13    28    NO       13566501        0.03%
53    2     NO       13499316        0.03%
104   6     NO       13386605        0.03%
20    293   YES      13351357        0.03%
16    55    NO       13334822        0.03%
161   4     YES      13292782        0.03%
16    256   YES      13275263        0.03%
1     137   YES      13125698        0.03%
3     158   YES      13099760        0.03%
4     50    NO       13084902        0.03%
8     196   YES      13061002        0.03%
16    263   YES      13052760        0.03%
4     161   YES      13030048        0.03%
16    23    NO       13017803        0.03%
74    13    NO       12981059        0.03%
5     96    NO       12975475        0.03%
128   0     YES      12950232        0.03%
17    271   YES      12942895        0.03%
206   9     YES      12938791        0.03%
11    105   NO       12909944        0.03%
0     89    NO       12873665        0.03%
2     12    NO       12851173        0.03%
1     140   YES      12780420        0.03%
1     143   YES      12743069        0.03%
16    262   YES      12690083        0.03%
44    5     NO       12669366        0.03%
14    243   YES      12659959        0.03%
23    313   YES      12590020        0.03%
72    8     NO       12585347        0.03%
15    250   YES      12557132        0.03%
9     5     NO       12499751        0.02%
21    14    NO       12446333        0.02%
4     20    NO       12432038        0.02%
16    9     NO       12376853        0.02%
2     6     NO       12346156        0.02%
233   13    YES      12336386        0.02%
13    234   YES      12265363        0.02%
12    230   YES      12247422        0.02%
13    20    NO       12210807        0.02%
16    11    NO       12206481        0.02%
13    4     NO       12164721        0.02%
21    296   YES      12114183        0.02%
15    19    NO       12095134        0.02%
21    38    NO       11990688        0.02%
281   19    YES      11984446        0.02%
11    16    NO       11849297        0.02%
64    20    NO       11846202        0.02%
143   1     YES      11832765        0.02%
121   15    NO       11822090        0.02%
89    21    NO       11748055        0.02%
17    264   YES      11736628        0.02%
247   14    YES      11727782        0.02%
19    281   YES      11701815        0.02%
115   10    NO       11697473        0.02%
22    15    NO       11642755        0.02%
216   11    YES      11603740        0.02%
21    12    NO       11582924        0.02%
22    18    NO       11579500        0.02%
307   22    YES      11509889        0.02%
15    11    NO       11430885        0.02%
23    29    NO       11410071        0.02%
7     5     NO       11340288        0.02%
19    3     NO       11287234        0.02%
6     82    NO       11218247        0.02%
11    97    NO       11216139        0.02%
11    216   YES      11190740        0.02%
67    10    NO       11174914        0.02%
122   9     NO       11165293        0.02%
0     128   YES      11114737        0.02%
18    61    NO       11094823        0.02%
16    53    NO       11093447        0.02%
5     106   NO       11066437        0.02%
23    318   YES      11044987        0.02%
6     181   YES      11020962        0.02%
6     21    NO       11011043        0.02%
11    222   YES      10954426        0.02%
19    50    NO       10953811        0.02%
8     193   YES      10823949        0.02%
5     7     NO       10781325        0.02%
8     0     NO       10708766        0.02%
29    8     NO       10704694        0.02%
22    0     NO       10696558        0.02%
16    27    NO       10695217        0.02%
20    294   YES      10692171        0.02%
5     44    NO       10690858        0.02%
17    5     NO       10683793        0.02%
1     4     NO       10595701        0.02%
15    106   NO       10573830        0.02%
140   1     YES      10573670        0.02%
312   23    YES      10565223        0.02%
13    117   NO       10474919        0.02%
187   7     YES      10437596        0.02%
2     144   YES      10369525        0.02%
3     38    NO       10327923        0.02%
10    3     NO       10324224        0.02%
9     204   YES      10322988        0.02%
117   11    NO       10289129        0.02%
19    15    NO       10271923        0.02%
104   13    NO       10236662        0.02%
25    10    NO       10192180        0.02%
20    13    NO       10190031        0.02%
8     99    NO       10158753        0.02%
2     108   NO       10140737        0.02%
22    44    NO       10125874        0.02%
50    8     NO       10053502        0.02%
3     53    NO       10051940        0.02%
6     94    NO       10045781        0.02%
14    240   YES      10039333        0.02%
14    247   YES      9998780         0.02%
177   6     YES      9972091         0.02%
94    19    NO       9913053         0.02%
22    307   YES      9879277         0.02%
11    220   YES      9839658         0.02%
0     86    NO       9827804         0.02%
0     100   NO       9781224         0.02%
108   23    NO       9761047         0.02%
4     166   YES      9751644         0.02%
0     14    NO       9733642         0.02%
27    16    NO       9716384         0.02%
264   17    YES      9676118         0.02%
22    13    NO       9629865         0.02%
116   11    NO       9629098         0.02%
50    16    NO       9592726         0.02%
