Src   Dst   Srvport  Utilized (ns)   Utilization
0     1     NO       4478038669      8.96%
1     0     NO       4229371702      8.46%
11    1     YES      1363999421      2.73%
5     0     YES      1190734383      2.38%
1     10    YES      1156335195      2.31%
1     11    YES      1130923675      2.26%
0     3     YES      1098971418      2.20%
0     7     YES      1073531073      2.15%
16    1     YES      1047128086      2.09%
0     4     YES      1020382355      2.04%
1     16    YES      1019401885      2.04%
13    1     YES      1014493596      2.03%
1     13    YES      1008031130      2.02%
4     0     YES      985970229       1.97%
1     17    YES      984770942       1.97%
0     2     YES      952460199       1.90%
3     0     YES      944993238       1.89%
2     0     YES      943218689       1.89%
0     9     YES      942485445       1.88%
10    1     YES      928166379       1.86%
7     0     YES      920594731       1.84%
8     0     YES      919907377       1.84%
9     0     YES      880700670       1.76%
17    1     YES      870975737       1.74%
12    1     YES      862579622       1.73%
6     0     YES      800250220       1.60%
15    1     YES      763477774       1.53%
0     6     YES      744087473       1.49%
14    1     YES      715027447       1.43%
0     5     YES      694156208       1.39%
1     14    YES      656815645       1.31%
1     12    YES      651149852       1.30%
0     8     YES      578776276       1.16%
1     15    YES      543462896       1.09%
