FlowId     Src   Dst   Sent (byte)  Total (byte) Duration (ms)  Progress  
150        13    3     4769         4769         0.04           100.00%
151        15    4     7557         7557         0.05           100.00%
152        2     15    19779        19779        0.22           100.00%
153        11    8     110041       110041       1.03           100.00%
154        9     14    6070         6070         0.09           100.00%
155        10    8     5878         5878         0.07           100.00%
156        13    6     5406         5406         0.04           100.00%
157        5     17    13537        13537        0.10           100.00%
158        10    5     4847         4847         0.03           100.00%
159        15    2     6442         6442         0.06           100.00%
160        6     17    20974        20974        0.27           100.00%
161        8     16    5037         5037         0.17           100.00%
162        8     16    5997         5997         0.05           100.00%
163        10    7     5135         5135         0.04           100.00%
164        2     14    7735         7735         0.06           100.00%
165        9     17    21669        21669        0.17           100.00%
166        3     13    15260        15260        0.13           100.00%
167        12    5     5340         5340         0.05           100.00%
168        7     15    7853         7853         0.06           100.00%
169        6     16    8367         8367         0.07           100.00%
170        5     12    5142         5142         0.04           100.00%
171        11    4     23884        23884        0.23           100.00%
172        15    9     5482         5482         0.04           100.00%
173        11    9     7092         7092         0.06           100.00%
174        16    7     5044         5044         0.05           100.00%
175        8     13    46021        46021        0.42           100.00%
176        14    5     13584        13584        0.13           100.00%
177        16    6     14477        14477        0.12           100.00%
178        14    2     18625        18625        0.16           100.00%
179        2     15    32121        32121        0.26           100.00%
180        10    4     5012         5012         0.04           100.00%
181        9     11    30685        30685        0.23           100.00%
182        5     17    13871        13871        0.13           100.00%
183        17    4     5838         5838         0.05           100.00%
184        11    7     13967        13967        0.27           100.00%
185        6     10    5653         5653         0.26           100.00%
186        4     10    41555        41555        0.52           100.00%
187        14    5     11901        11901        0.08           100.00%
188        10    4     5021         5021         0.04           100.00%
189        11    2     12797        12797        0.10           100.00%
190        12    7     6113         6113         0.05           100.00%
191        11    8     5187         5187         0.04           100.00%
192        15    8     53771        53771        0.46           100.00%
193        14    6     7872         7872         0.21           100.00%
194        5     13    9101         9101         0.08           100.00%
195        4     15    9424         9424         0.07           100.00%
196        15    4     5459         5459         0.04           100.00%
197        5     11    4770         4770         0.05           100.00%
198        9     11    16444        16444        0.15           100.00%
199        5     14    14907        14907        0.12           100.00%
200        2     12    11592        11592        0.09           100.00%
201        14    2     176234       176234       1.61           100.00%
202        2     15    42631        42631        0.47           100.00%
203        14    8     11758        11758        0.12           100.00%
204        10    4     7744         7744         0.06           100.00%
205        11    3     8715         8715         0.08           100.00%
206        12    8     5850         5850         0.05           100.00%
207        7     11    7041         7041         0.05           100.00%
208        8     17    86880        86880        0.60           100.00%
209        8     14    65206        65206        0.61           100.00%
210        10    5     5354         5354         0.05           100.00%
211        2     10    8881         8881         0.07           100.00%
212        2     15    9850         9850         0.07           100.00%
213        7     12    10311        10311        0.09           100.00%
214        7     12    6727         6727         0.06           100.00%
215        6     13    13570        13570        0.11           100.00%
216        2     17    5052         5052         0.03           100.00%
217        8     11    31717        31717        0.27           100.00%
218        12    8     6393         6393         0.05           100.00%
219        11    6     29668        29668        0.22           100.00%
220        12    4     13771        13771        0.10           100.00%
221        3     13    5527         5527         0.05           100.00%
222        13    8     5290         5290         0.03           100.00%
223        13    6     17841        17841        0.15           100.00%
224        7     16    17948        17948        0.13           100.00%
225        2     12    65416        65416        0.64           100.00%
226        10    2     24174        24174        0.19           100.00%
227        6     17    8531         8531         0.07           100.00%
228        14    3     8859         8859         0.08           100.00%
229        5     10    11500        11500        0.12           100.00%
