FlowId     Src   Dst   Sent (byte)  Total (byte) Duration (ms)  Progress  
0          206   576   32862        32862        0.04           100.00%
1          522   261   32932        32932        0.04           100.00%
2          147   242   69955        69955        0.07           100.00%
3          397   732   16475        16475        0.04           100.00%
4          884   904   14493        14493        0.06           100.00%
5          1017  222   29745        29745        0.05           100.00%
6          788   430   17216        17216        0.03           100.00%
7          866   276   78358        78358        0.12           100.00%
8          267   242   9890         9890         0.02           100.00%
9          830   277   6023         6023         0.01           100.00%
10         307   896   5558         5558         0.02           100.00%
11         807   384   31178        31178        0.06           100.00%
12         1020  440   13016        13016        0.03           100.00%
13         451   327   14900        14900        0.02           100.00%
14         918   853   7229         7229         0.03           100.00%
15         870   698   5245         5245         0.03           100.00%
16         830   436   8133         8133         0.01           100.00%
17         758   194   25205        25205        0.05           100.00%
18         523   384   9739         9739         0.02           100.00%
19         373   128   29395        29395        0.03           100.00%
20         455   232   14162        14162        0.02           100.00%
21         507   133   65946        65946        0.06           100.00%
22         875   246   8748         8748         0.02           100.00%
23         474   335   7948         7948         0.01           100.00%
24         455   1008  18804        18804        0.04           100.00%
25         972   241   7156         7156         0.01           100.00%
26         890   388   7836         7836         0.02           100.00%
27         959   789   16517        16517        0.07           100.00%
28         349   537   30075        30075        0.03           100.00%
29         210   831   6308         6308         0.02           100.00%
30         438   752   7372         7372         0.03           100.00%
31         196   247   24819        24819        0.03           100.00%
32         176   755   5597         5597         0.02           100.00%
33         543   459   5067         5067         0.01           100.00%
34         519   949   21393        21393        0.05           100.00%
35         580   703   16422        16422        0.04           100.00%
36         185   340   6852         6852         0.01           100.00%
37         237   263   62196        62196        0.06           100.00%
38         851   664   12655        12655        0.05           100.00%
39         279   152   9599         9599         0.02           100.00%
40         878   169   5233         5233         0.01           100.00%
41         906   523   6099         6099         0.01           100.00%
42         466   167   13757        13757        0.02           100.00%
43         454   250   13458        13458        0.02           100.00%
44         682   440   54082        54082        0.08           100.00%
45         991   350   6409         6409         0.01           100.00%
46         483   691   8532         8532         0.03           100.00%
47         843   278   9390         9390         0.02           100.00%
48         665   541   248423       248423       0.38           100.00%
49         216   855   7334         7334         0.02           100.00%
50         534   719   5956         5956         0.02           100.00%
51         573   255   4942         4942         0.01           100.00%
52         561   749   6334         6334         0.02           100.00%
53         566   198   11184        11184        0.02           100.00%
54         531   314   10756        10756        0.02           100.00%
55         252   168   6867         6867         0.01           100.00%
56         192   287   5036         5036         0.01           100.00%
57         427   576   75514        75514        0.07           100.00%
58         410   492   6780         6780         0.01           100.00%
59         534   822   4893         4893         0.02           100.00%
60         359   837   14751        14751        0.03           100.00%
61         542   648   15014        15014        0.03           100.00%
62         869   891   155521       155521       0.47           100.00%
63         291   267   9207         9207         0.01           100.00%
64         216   926   5515         5515         0.02           100.00%
65         505   355   16642        16642        0.02           100.00%
66         569   677   15747        15747        0.04           100.00%
