Src   Dst   Srvport  Utilized (ns)   Utilization
215   10    YES      26903386801     53.81%
227   12    YES      26860450239     53.72%
284   19    YES      26829356261     53.66%
210   10    YES      26748214390     53.50%
169   5     YES      26737244910     53.47%
222   11    YES      26684443106     53.37%
263   16    YES      26676925556     53.35%
203   9     YES      26594024735     53.19%
22    89    NO       25603433657     51.21%
106   15    NO       25453908258     50.91%
11    15    NO       25290832372     50.58%
18    20    NO       25055555801     50.11%
11    21    NO       24472689479     48.95%
2     6     NO       23830312200     47.66%
5     108   NO       23724377652     47.45%
11    124   NO       23677013496     47.35%
19    116   NO       23560152281     47.12%
12    21    NO       23474064011     46.95%
6     177   YES      23337077849     46.67%
21    107   NO       23238790039     46.48%
19    20    NO       23214114607     46.43%
5     4     NO       23172322925     46.34%
1     69    NO       23122708849     46.25%
1     31    NO       23066537238     46.13%
16    5     NO       23037027455     46.07%
0     14    NO       22875127434     45.75%
0     86    NO       22872019622     45.74%
2     22    NO       22708405044     45.42%
17    21    NO       22677938197     45.36%
15    33    NO       22650657308     45.30%
23    108   NO       22584692075     45.17%
22    14    NO       22489890382     44.98%
20    67    NO       22292333007     44.58%
18    53    NO       22247907688     44.50%
5     3     NO       22198992024     44.40%
5     6     NO       22120685966     44.24%
14    0     NO       22070700474     44.14%
3     9     NO       22053273078     44.11%
19    15    NO       22031103503     44.06%
18    278   YES      22019786720     44.04%
1     4     NO       21945705595     43.89%
19    4     NO       21897061680     43.79%
20    6     NO       21873229457     43.75%
96    14    NO       21867399667     43.73%
21    17    NO       21768319995     43.54%
0     108   NO       21751063210     43.50%
15    3     NO       21699140913     43.40%
5     16    NO       21691382798     43.38%
3     1     NO       21667554091     43.34%
9     206   YES      21523162837     43.05%
0     22    NO       21499522742     43.00%
19    283   YES      21469483045     42.94%
11    54    NO       21423738171     42.85%
18    276   YES      21422143704     42.84%
1     15    NO       21348613687     42.70%
11    32    NO       21339284438     42.68%
14    22    NO       21308997760     42.62%
20    105   NO       21307030044     42.61%
21    65    NO       21302954682     42.61%
4     19    NO       21263883865     42.53%
1     18    NO       21148710744     42.30%
12    114   NO       21117117843     42.23%
22    307   YES      21091528956     42.18%
16    258   YES      21047107774     42.09%
22    13    NO       20998705754     42.00%
8     22    NO       20934258912     41.87%
5     173   YES      20931983494     41.86%
20    17    NO       20885954164     41.77%
12    15    NO       20809265711     41.62%
9     12    NO       20779636027     41.56%
7     69    NO       20779258856     41.56%
20    4     NO       20774826783     41.55%
14    65    NO       20747439445     41.49%
5     60    NO       20744627029     41.49%
3     15    NO       20708818587     41.42%
8     6     NO       20619254264     41.24%
4     20    NO       20580320313     41.16%
18    108   NO       20552278263     41.10%
14    241   YES      20530969763     41.06%
3     153   YES      20494370217     40.99%
7     63    NO       20411415395     40.82%
9     6     NO       20333713885     40.67%
9     16    NO       20288810123     40.58%
19    94    NO       20244150011     40.49%
12    16    NO       20167781162     40.34%
16    9     NO       20110736668     40.22%
22    308   YES      20050320186     40.10%
13    18    NO       20044608256     40.09%
5     17    NO       20040959592     40.08%
3     158   YES      20035940612     40.07%
115   13    NO       20031256707     40.06%
21    6     NO       20013904643     40.03%
5     44    NO       19995025144     39.99%
12    2     NO       19994257609     39.99%
52    22    NO       19972567773     39.95%
10    92    NO       19904982219     39.81%
75    19    NO       19845713699     39.69%
22    2     NO       19843186933     39.69%
14    6     NO       19787077312     39.57%
4     50    NO       19784805312     39.57%
5     169   YES      19783728829     39.57%
17    5     NO       19762097675     39.52%
55    8     NO       19701162560     39.40%
3     110   NO       19657074147     39.31%
18    277   YES      19655824008     39.31%
9     10    NO       19629480647     39.26%
8     68    NO       19608858648     39.22%
13    4     NO       19592010187     39.18%
105   8     NO       19577041434     39.15%
10    4     NO       19514314901     39.03%
14    89    NO       19470817359     38.94%
100   21    NO       19445035772     38.89%
15    1     NO       19444195577     38.89%
11    218   YES      19429475473     38.86%
8     76    NO       19409322719     38.82%
17    268   YES      19398416007     38.80%
0     16    NO       19378830994     38.76%
1     108   NO       19360015146     38.72%
11    98    NO       19355903867     38.71%
18    63    NO       19296102136     38.59%
0     124   NO       19284859284     38.57%
3     71    NO       19222684474     38.45%
20    99    NO       19217706386     38.44%
19    3     NO       19200372388     38.40%
18    123   NO       19193524069     38.39%
0     53    NO       19193423885     38.39%
7     18    NO       19135713236     38.27%
17    20    NO       19129438054     38.26%
15    86    NO       19080089508     38.16%
8     195   YES      19064723517     38.13%
6     182   YES      19056656935     38.11%
12    29    NO       19025464689     38.05%
19    50    NO       19023315258     38.05%
18    15    NO       19015125308     38.03%
1     116   NO       19012784851     38.03%
15    13    NO       19009259464     38.02%
23    91    NO       18967889462     37.94%
23    21    NO       18959079345     37.92%
16    13    NO       18948699904     37.90%
13    32    NO       18915545381     37.83%
7     127   NO       18862088042     37.72%
21    115   NO       18820851445     37.64%
