Src   Dst   Srvport  Utilized (ns)   Utilization
7     40    YES      29999678676     100.00%
45    110   YES      29996577808     99.99%
61    45    YES      29994424950     99.98%
96    45    YES      29994360666     99.98%
93    66    YES      29994140398     99.98%
66    82    YES      29993488024     99.98%
67    97    YES      29993468656     99.98%
4     76    YES      29990198758     99.97%
18    126   YES      29990157242     99.97%
60    119   YES      29989925358     99.97%
42    61    YES      29989842338     99.97%
117   124   YES      29989478040     99.96%
112   57    YES      29989267356     99.96%
43    24    YES      29988876804     99.96%
5     9     YES      29988423684     99.96%
125   88    YES      29987536098     99.96%
123   81    YES      29986662682     99.96%
58    76    YES      29985668650     99.95%
9     89    YES      29985561656     99.95%
39    52    YES      29985306068     99.95%
125   0     YES      29985214832     99.95%
83    19    YES      29983881566     99.95%
28    40    YES      29983773672     99.95%
18    92    YES      29983365498     99.94%
126   59    YES      29982958268     99.94%
118   89    YES      29982493662     99.94%
25    62    YES      29981459466     99.94%
10    47    YES      29981048408     99.94%
93    68    YES      29980326418     99.93%
95    126   YES      29979569402     99.93%
106   58    YES      29979265613     99.93%
75    21    YES      29979238192     99.93%
113   114   YES      29979182064     99.93%
4     37    YES      29978034952     99.93%
79    40    YES      29977736885     99.93%
6     83    YES      29977132496     99.92%
55    24    YES      29976482962     99.92%
53    59    YES      29976443276     99.92%
104   83    YES      29975747778     99.92%
6     9     YES      29975058216     99.92%
33    59    YES      29973694990     99.91%
47    57    YES      29972805044     99.91%
19    91    YES      29972463838     99.91%
35    1     YES      29971782686     99.91%
74    103   YES      29971537262     99.91%
54    79    YES      29971472388     99.90%
50    9     YES      29971472180     99.90%
82    59    YES      29971305972     99.90%
71    111   YES      29971063572     99.90%
21    14    YES      29970732162     99.90%
106   3     YES      29970393627     99.90%
50    2     YES      29970306048     99.90%
82    50    YES      29969468558     99.90%
84    97    YES      29968538326     99.90%
36    62    YES      29968488984     99.89%
124   30    YES      29967885700     99.89%
49    52    YES      29967190118     99.89%
116   119   YES      29966598889     99.89%
38    84    YES      29966346262     99.89%
14    81    YES      29966296342     99.89%
121   43    YES      29965653190     99.89%
21    89    YES      29964923439     99.88%
65    30    YES      29964844796     99.88%
41    87    YES      29964778861     99.88%
42    72    YES      29964777256     99.88%
4     63    YES      29963970486     99.88%
80    114   YES      29963944700     99.88%
97    26    YES      29963915941     99.88%
10    65    YES      29963739324     99.88%
87    19    YES      29963356733     99.88%
49    115   YES      29963070682     99.88%
45    42    YES      29963000400     99.88%
24    55    YES      29962663558     99.88%
61    33    YES      29962653892     99.88%
67    32    YES      29962243600     99.87%
86    82    YES      29962037213     99.87%
33    58    YES      29961992162     99.87%
44    57    YES      29961502278     99.87%
115   93    YES      29960766338     99.87%
100   34    YES      29960363526     99.87%
69    84    YES      29960170494     99.87%
56    5     YES      29960167892     99.87%
103   117   YES      29959727049     99.87%
80    1     YES      29959694494     99.87%
6     28    YES      29959235375     99.86%
93    100   YES      29958242428     99.86%
111   52    YES      29958110078     99.86%
17    88    YES      29958009330     99.86%
23    68    YES      29957885150     99.86%
70    83    YES      29957221065     99.86%
25    10    YES      29957067212     99.86%
11    110   YES      29957062763     99.86%
100   29    YES      29956810448     99.86%
26    51    YES      29956645904     99.86%
50    82    YES      29956475912     99.85%
12    111   YES      29956137714     99.85%
15    3     YES      29955820656     99.85%
65    106   YES      29955633058     99.85%
7     127   YES      29954830942     99.85%
31    113   YES      29954662506     99.85%
114   43    YES      29954169912     99.85%
65    0     YES      29953590464     99.85%
15    33    YES      29953571024     99.85%
102   34    YES      29953533934     99.85%
39    27    YES      29953489796     99.84%
109   68    YES      29953282414     99.84%
109   58    YES      29952247726     99.84%
105   113   YES      29952240348     99.84%
7     95    YES      29952173984     99.84%
53    90    YES      29952099094     99.84%
105   63    YES      29951873826     99.84%
18    117   YES      29951704752     99.84%
89    49    YES      29951659856     99.84%
97    84    YES      29950625537     99.84%
112   30    YES      29950623511     99.84%
8     72    YES      29950615368     99.84%
127   85    YES      29950277540     99.83%
48    36    YES      29950048092     99.83%
3     97    YES      29949983362     99.83%
69    26    YES      29949964812     99.83%
69    35    YES      29949301784     99.83%
36    90    YES      29948800068     99.83%
118   85    YES      29948711528     99.83%
87    42    YES      29948319554     99.83%
103   83    YES      29948197978     99.83%
56    34    YES      29947606982     99.83%
106   30    YES      29947352408     99.82%
123   97    YES      29947133460     99.82%
32    73    YES      29946904306     99.82%
120   47    YES      29946891164     99.82%
89    95    YES      29946870888     99.82%
64    76    YES      29946478430     99.82%
24    0     YES      29946450464     99.82%
1     54    YES      29946375520     99.82%
113   78    YES      29946368916     99.82%
18    67    YES      29946249538     99.82%
60    2     YES      29946197720     99.82%
40    3     YES      29946187974     99.82%
78    26    YES      29946133097     99.82%
109   1     YES      29945669516     99.82%
75    16    YES      29945633386     99.82%
59    48    YES      29945378511     99.82%
126   69    YES      29945074442     99.82%
91    14    YES      29944729861     99.82%
