Src   Dst   Srvport  Utilized (ns)   Utilization
20    295   YES      38383215        0.08%
448   40    YES      38137584        0.08%
40    64    NO       37208270        0.07%
64    20    NO       37105142        0.07%
16    34    NO       29458349        0.06%
126   1140  YES      29444118        0.06%
259   16    YES      29278305        0.06%
34    126   NO       29231374        0.06%
804   84    YES      18471888        0.04%
84    65    NO       18208103        0.04%
65    6     NO       15517853        0.03%
6     177   YES      14187975        0.03%
45    492   YES      13479765        0.03%
5     96    NO       13302083        0.03%
174   5     YES      13105841        0.03%
96    45    NO       12723929        0.03%
22    13    NO       12721472        0.03%
63    636   YES      12357520        0.02%
308   22    YES      12222026        0.02%
126   1142  YES      12181373        0.02%
13    63    NO       12110377        0.02%
747   77    YES      12006897        0.02%
89    126   NO       11565086        0.02%
43    479   YES      11201401        0.02%
77    46    NO       11110903        0.02%
197   8     YES      11082544        0.02%
46    43    NO       10898141        0.02%
8     89    NO       10852019        0.02%
52    548   YES      10819619        0.02%
223   11    YES      10568899        0.02%
11    52    NO       10369785        0.02%
24    100   NO       10144767        0.02%
910   97    YES      8241684         0.02%
30    369   YES      8121774         0.02%
87    825   YES      7851222         0.02%
60    97    NO       7780350         0.02%
97    126   NO       7733974         0.02%
612   60    YES      7706173         0.02%
126   87    NO       7673883         0.02%
97    30    NO       7633361         0.02%
7     184   YES      7628907         0.02%
92    868   YES      7324434         0.01%
321   24    YES      7280438         0.01%
100   7     NO       7219736         0.01%
240   14    YES      7056953         0.01%
1002  109   YES      7031605         0.01%
14    91    NO       6935002         0.01%
592   58    YES      6659772         0.01%
91    92    NO       6650070         0.01%
92    870   YES      6597361         0.01%
262   16    YES      6590852         0.01%
76    77    NO       6513006         0.01%
16    101   NO       6500580         0.01%
80    35    NO       6496435         0.01%
91    856   YES      6456970         0.01%
663   66    YES      6451864         0.01%
35    410   YES      6444885         0.01%
58    127   NO       6393191         0.01%
818   86    YES      6357324         0.01%
66    80    NO       6296963         0.01%
101   91    NO       6279284         0.01%
348   27    YES      6258943         0.01%
65    102   NO       6251904         0.01%
127   92    NO       6214187         0.01%
2     6     NO       6155664         0.01%
77    749   YES      6060312         0.01%
27    2     NO       6053750         0.01%
6     178   YES      6026731         0.01%
117   1071  YES      5973510         0.01%
102   946   YES      5847939         0.01%
743   76    YES      5782601         0.01%
89    843   YES      5668283         0.01%
109   117   NO       5340390         0.01%
6     181   YES      5311417         0.01%
484   44    YES      5284913         0.01%
618   61    YES      5195204         0.01%
21    6     NO       5097865         0.01%
44    21    NO       5082705         0.01%
518   48    YES      4977001         0.01%
75    61    NO       4904769         0.01%
40    451   YES      4892292         0.01%
62    625   YES      4863167         0.01%
3     89    NO       4706308         0.01%
790   82    YES      4685952         0.01%
85    813   YES      4571134         0.01%
504   47    YES      4535170         0.01%
61    85    NO       4463154         0.01%
12    228   YES      4438859         0.01%
