Src   Dst   Srvport  Utilized (ns)   Utilization
10    215   YES      389202672       0.78%
13    235   YES      185286742       0.37%
63    13    NO       159451698       0.32%
7     63    NO       154839649       0.31%
235   13    YES      131450529       0.26%
185   7     YES      128013033       0.26%
7     185   YES      90934036        0.18%
13    120   NO       77073016        0.15%
120   7     NO       73150749        0.15%
11    113   NO       42729118        0.09%
266   17    YES      40567884        0.08%
0     133   YES      31704492        0.06%
133   0     YES      26727116        0.05%
113   0     NO       25335261        0.05%
5     174   YES      24897887        0.05%
89    5     NO       22693008        0.05%
17    10    NO       22058530        0.04%
199   8     YES      21772618        0.04%
217   11    YES      20957404        0.04%
113   13    NO       19390904        0.04%
174   5     YES      19336593        0.04%
8     89    NO       19060471        0.04%
200   9     YES      19056768        0.04%
8     22    NO       17549927        0.04%
3     152   YES      17270005        0.03%
223   11    YES      17094713        0.03%
8     199   YES      17075464        0.03%
4     167   YES      17004862        0.03%
22    310   YES      16933624        0.03%
11    217   YES      16857309        0.03%
9     3     NO       15399648        0.03%
37    4     NO       14849996        0.03%
16    37    NO       14789964        0.03%
195   8     YES      14641959        0.03%
6     182   YES      14217842        0.03%
11    223   YES      14024208        0.03%
257   16    YES      13828389        0.03%
236   13    YES      13782435        0.03%
28    6     NO       13734427        0.03%
167   4     YES      13543812        0.03%
152   3     YES      13386709        0.03%
310   22    YES      12847266        0.03%
182   6     YES      12736468        0.03%
13    28    NO       12671183        0.03%
18    277   YES      12590487        0.03%
13    236   YES      11996134        0.02%
0     38    NO       11429741        0.02%
38    11    NO       11382514        0.02%
4     5     NO       10976711        0.02%
8     195   YES      10466268        0.02%
5     72    NO       10440026        0.02%
9     207   YES      10306687        0.02%
22    8     NO       10283893        0.02%
16    257   YES      10274473        0.02%
219   11    YES      10190386        0.02%
20    6     NO       10066410        0.02%
9     200   YES      9848122         0.02%
72    8     NO       9801030         0.02%
6     9     NO       9729579         0.02%
1     18    NO       9656894         0.02%
21    298   YES      9379085         0.02%
207   9     YES      9366831         0.02%
6     179   YES      9266758         0.02%
18    273   YES      9219598         0.02%
192   8     YES      9203315         0.02%
277   18    YES      9164421         0.02%
8     6     NO       9002147         0.02%
210   10    YES      8657938         0.02%
13    117   NO       8611074         0.02%
3     9     NO       8560486         0.02%
288   20    YES      8560206         0.02%
23    319   YES      8555658         0.02%
17    1     NO       8389200         0.02%
5     16    NO       8293101         0.02%
8     192   YES      8180238         0.02%
267   17    YES      8103774         0.02%
11    219   YES      8042362         0.02%
96    14    NO       7993930         0.02%
5     173   YES      7933699         0.02%
270   17    YES      7768474         0.02%
117   11    NO       7726008         0.02%
6     8     NO       7642099         0.02%
10    212   YES      7585181         0.02%
319   23    YES      7550755         0.02%
280   19    YES      7535358         0.02%
173   5     YES      7507135         0.02%
17    21    NO       7440899         0.01%
6     2     NO       7293192         0.01%
179   6     YES      7268794         0.01%
212   10    YES      7034113         0.01%
273   18    YES      7013638         0.01%
21    303   YES      6878501         0.01%
203   9     YES      6820979         0.01%
314   23    YES      6762938         0.01%
14    244   YES      6673400         0.01%
301   21    YES      6562621         0.01%
298   21    YES      6521606         0.01%
19    284   YES      6506231         0.01%
20    288   YES      6498997         0.01%
135   0     YES      6481002         0.01%
240   14    YES      6445633         0.01%
205   9     YES      6245222         0.01%
1     138   YES      6105902         0.01%
17    267   YES      6097470         0.01%
184   7     YES      6092997         0.01%
180   6     YES      5999916         0.01%
15    254   YES      5989093         0.01%
244   14    YES      5985318         0.01%
138   1     YES      5981132         0.01%
214   10    YES      5973575         0.01%
253   15    YES      5894673         0.01%
284   19    YES      5831047         0.01%
102   13    NO       5786242         0.01%
44    5     NO       5769547         0.01%
2     1     NO       5767318         0.01%
303   21    YES      5746486         0.01%
5     169   YES      5725179         0.01%
2     6     NO       5721180         0.01%
225   12    YES      5625899         0.01%
7     184   YES      5608648         0.01%
14    246   YES      5597785         0.01%
9     203   YES      5547158         0.01%
5     124   NO       5474312         0.01%
183   6     YES      5434440         0.01%
302   21    YES      5422568         0.01%
19    117   NO       5415167         0.01%
251   15    YES      5375818         0.01%
317   23    YES      5360369         0.01%
169   5     YES      5356975         0.01%
117   18    NO       5331086         0.01%
2     147   YES      5294526         0.01%
108   23    NO       5278258         0.01%
6     102   NO       5255642         0.01%
10    214   YES      5209281         0.01%
12    225   YES      5194841         0.01%
19    280   YES      5186059         0.01%
14    41    NO       5172100         0.01%
6     180   YES      5149939         0.01%
157   3     YES      5134301         0.01%
23    317   YES      5118798         0.01%
55    18    NO       5098168         0.01%
6     178   YES      5088662         0.01%
17    270   YES      5007473         0.01%
178   6     YES      4997870         0.01%
254   15    YES      4993983         0.01%
168   5     YES      4984467         0.01%
7     189   YES      4908685         0.01%
282   19    YES      4875348         0.01%
13    20    NO       4791322         0.01%
0     135   YES      4786049         0.01%
22    307   YES      4767225         0.01%
43    20    NO       4757929         0.01%
191   7     YES      4748575         0.01%
105   11    NO       4731777         0.01%
295   20    YES      4727022         0.01%
41    10    NO       4702966         0.01%
18    20    NO       4697739         0.01%
261   16    YES      4665093         0.01%
139   1     YES      4622642         0.01%
307   22    YES      4559649         0.01%
243   14    YES      4525187         0.01%
230   12    YES      4495479         0.01%
1     102   NO       4455982         0.01%
23    104   NO       4420465         0.01%
21    17    NO       4408771         0.01%
309   22    YES      4392522         0.01%
21    50    NO       4378065         0.01%
289   20    YES      4354725         0.01%
246   14    YES      4343737         0.01%
166   4     YES      4339905         0.01%
234   13    YES      4316500         0.01%
124   15    NO       4309908         0.01%
14    240   YES      4307559         0.01%
20    19    NO       4286712         0.01%
158   3     YES      4278757         0.01%
6     183   YES      4266790         0.01%
4     162   YES      4238989         0.01%
0     134   YES      4228455         0.01%
2     148   YES      4215720         0.01%
292   20    YES      4161886         0.01%
162   4     YES      4146258         0.01%
148   2     YES      4140006         0.01%
238   13    YES      4125428         0.01%
13    238   YES      4116008         0.01%
150   2     YES      4083121         0.01%
20    295   YES      4073651         0.01%
315   23    YES      4060183         0.01%
156   3     YES      4034604         0.01%
3     38    NO       4013218         0.01%
2     150   YES      4001426         0.01%
151   2     YES      3991811         0.01%
245   14    YES      3982906         0.01%
165   4     YES      3967412         0.01%
21    38    NO       3965989         0.01%
171   5     YES      3959698         0.01%
153   3     YES      3959252         0.01%
15    251   YES      3943064         0.01%
10    105   NO       3874088         0.01%
198   8     YES      3867622         0.01%
181   6     YES      3849527         0.01%
5     96    NO       3845856         0.01%
0     44    NO       3841193         0.01%
134   0     YES      3816792         0.01%
228   12    YES      3791611         0.01%
145   2     YES      3784769         0.01%
197   8     YES      3737982         0.01%
23    10    NO       3717871         0.01%
1     139   YES      3709353         0.01%
14    242   YES      3705725         0.01%
176   6     YES      3705052         0.01%
10    9     NO       3695889         0.01%
316   23    YES      3694015         0.01%
19    282   YES      3691887         0.01%
10    115   NO       3685321         0.01%
23    312   YES      3681984         0.01%
2     145   YES      3679871         0.01%
20    17    NO       3664461         0.01%
13    16    NO       3654450         0.01%
232   13    YES      3650106         0.01%
172   5     YES      3637941         0.01%
7     187   YES      3626633         0.01%
16    0     NO       3616034         0.01%
164   4     YES      3614767         0.01%
9     43    NO       3599454         0.01%
14    245   YES      3586259         0.01%
274   18    YES      3584303         0.01%
21    301   YES      3582819         0.01%
3     158   YES      3568508         0.01%
227   12    YES      3566764         0.01%
211   10    YES      3563708         0.01%
12    227   YES      3528070         0.01%
19    287   YES      3526211         0.01%
149   2     YES      3520306         0.01%
4     19    NO       3494992         0.01%
14    243   YES      3477834         0.01%
252   15    YES      3468348         0.01%
2     151   YES      3450484         0.01%
5     168   YES      3448247         0.01%
15    253   YES      3444626         0.01%
215   10    YES      3431565         0.01%
12    230   YES      3431069         0.01%
22    309   YES      3420036         0.01%
159   3     YES      3417036         0.01%
290   20    YES      3416212         0.01%
6     108   NO       3413206         0.01%
279   18    YES      3407927         0.01%
17    266   YES      3399660         0.01%
286   19    YES      3397012         0.01%
13    232   YES      3391408         0.01%
38    21    NO       3386396         0.01%
308   22    YES      3380958         0.01%
12    229   YES      3372722         0.01%
18    274   YES      3363434         0.01%
18    13    NO       3339141         0.01%
189   7     YES      3335723         0.01%
11    82    NO       3329876         0.01%
16    256   YES      3318306         0.01%
14    19    NO       3316082         0.01%
17    265   YES      3299212         0.01%
15    12    NO       3291241         0.01%
19    3     NO       3286469         0.01%
24    22    NO       3286287         0.01%
15    121   NO       3277836         0.01%
269   17    YES      3270614         0.01%
23    315   YES      3249713         0.01%
4     47    NO       3249166         0.01%
20    13    NO       3242649         0.01%
224   12    YES      3209978         0.01%
12    2     NO       3200895         0.01%
18    272   YES      3189632         0.01%
242   14    YES      3183712         0.01%
190   7     YES      3164926         0.01%
