Src   Dst   Srvport  Utilized (ns)   Utilization
13    40    NO       3460030120      6.92%
101   34    NO       3418444560      6.84%
34    64    NO       3365369096      6.73%
64    13    NO       3317426128      6.63%
126   107   NO       3255916896      6.51%
942   101   YES      3179811088      6.36%
40    452   YES      3142599024      6.29%
107   986   YES      3002138104      6.00%
1136  126   YES      2969710848      5.94%
65    14    NO       1896326536      3.79%
14    123   NO       1745648032      3.49%
91    65    NO       1726436464      3.45%
28    91    NO       1680489000      3.36%
26    119   NO       1617136528      3.23%
28    115   NO       1549219256      3.10%
79    12    NO       1535126024      3.07%
354   28    YES      1534885928      3.07%
123   1119  YES      1533531224      3.07%
107   126   NO       1519463680      3.04%
119   123   NO       1511729776      3.02%
115   65    NO       1507567776      3.02%
109   28    NO       1480630848      2.96%
16    45    NO       1451427968      2.90%
12    26    NO       1449465560      2.90%
65    655   YES      1387796680      2.78%
767   79    YES      1385266920      2.77%
1000  109   YES      1382159056      2.76%
95    107   NO       1321819744      2.64%
123   1116  YES      1306592688      2.61%
45    49    NO       1273920264      2.55%
46    98    NO       1175866728      2.35%
124   92    NO       1018413128      2.04%
261   16    YES      1003249144      2.01%
93    18    NO       1001897384      2.00%
49    521   YES      924247880       1.85%
13    64    NO       897137576       1.79%
126   124   NO       885965168       1.77%
50    108   NO       857967864       1.72%
57    66    NO       857585656       1.72%
77    30    NO       856666568       1.71%
40    13    NO       839299096       1.68%
11    105   NO       831896480       1.66%
97    38    NO       828951936       1.66%
92    865   YES      818430840       1.64%
66    22    NO       816118512       1.63%
6     7     NO       802806184       1.61%
62    101   NO       802242960       1.60%
105   46    NO       801757056       1.60%
893   95    YES      799090752       1.60%
22    6     NO       793820816       1.59%
24    81    NO       784117576       1.57%
18    50    NO       775574160       1.55%
101   50    NO       750011008       1.50%
98    97    NO       747721016       1.50%
26    22    NO       688115896       1.38%
110   0     NO       686008480       1.37%
108   992   YES      682698976       1.37%
13    122   NO       676420328       1.35%
122   20    NO       673331656       1.35%
109   12    NO       670174144       1.34%
878   93    YES      669414328       1.34%
39    9     NO       661320728       1.32%
66    9     NO       658520288       1.32%
631   62    YES      648604504       1.30%
64    115   NO       648409488       1.30%
7     190   YES      646380760       1.29%
121   15    NO       642957592       1.29%
50    534   YES      642009368       1.28%
0     14    NO       641143344       1.28%
22    39    NO       640680512       1.28%
587   57    YES      636192848       1.27%
17    60    NO       636157464       1.27%
14    68    NO       612043696       1.22%
497   46    YES      606168136       1.21%
34    98    NO       599657288       1.20%
102   17    NO       598220248       1.20%
38    434   YES      592772424       1.19%
86    102   NO       592694672       1.19%
9     42    NO       581247696       1.16%
85    4     NO       578466152       1.16%
98    51    NO       578441200       1.16%
55    8     NO       576336744       1.15%
105   121   NO       573024576       1.15%
5     68    NO       571871056       1.14%
11    87    NO       571085792       1.14%
98    33    NO       570698264       1.14%
16    5     NO       565380736       1.13%
56    109   NO       556624920       1.11%
42    55    NO       552371304       1.10%
5     16    NO       544814832       1.09%
33    117   NO       544734888       1.09%
31    27    NO       543411704       1.09%
10    49    NO       537651032       1.08%
126   1140  YES      533792256       1.07%
340   26    YES      528438728       1.06%
9     206   YES      528203744       1.06%
97    11    NO       526100216       1.05%
12    79    NO       524069856       1.05%
106   5     NO       511332176       1.02%
64    34    NO       510121360       1.02%
3     28    NO       507806568       1.02%
105   118   NO       494195288       0.99%
30    6     NO       490625352       0.98%
28    25    NO       487705056       0.98%
68    674   YES      487134336       0.97%
30    117   NO       487131504       0.97%
115   1055  YES      486294696       0.97%
27    77    NO       483154040       0.97%
38    94    NO       480683720       0.96%
233   13    YES      480020312       0.96%
51    541   YES      476609008       0.95%
