Src   Dst   Srvport  Utilized (ns)   Utilization
36    19    NO       5757529979      19.19%
19    12    NO       5635852673      18.79%
116   36    NO       5431685456      18.11%
1062  116   YES      5199074744      17.33%
12    227   YES      5181400880      17.27%
71    91    NO       4418692128      14.73%
91    65    NO       3912433376      13.04%
65    3     NO       3897076896      12.99%
3     157   YES      3575977352      11.92%
702   71    YES      3523724712      11.75%
85    81    NO       3509416112      11.70%
81    38    NO       3481555840      11.61%
38    97    NO       3441516272      11.47%
4     85    NO       3317922320      11.06%
160   4     YES      2909942392      9.70%
97    910   YES      2820337144      9.40%
48    104   NO       2585749256      8.62%
115   112   NO       2268970792      7.56%
104   72    NO       2244557144      7.48%
112   22    NO       2150007328      7.17%
26    35    NO       2137399496      7.12%
119   48    NO       2125682792      7.09%
72    80    NO       2081481128      6.94%
22    26    NO       2030791144      6.77%
1085  119   YES      1727856168      5.76%
80    770   YES      1705411600      5.68%
1055  115   YES      1658849272      5.53%
35    409   YES      1653543048      5.51%
30    77    NO       1409989936      4.70%
89    107   NO       1404911576      4.68%
110   112   NO       1378293192      4.59%
1     125   NO       1377531235      4.59%
67    27    NO       1358730560      4.53%
108   10    NO       1353451550      4.51%
58    2     NO       1338310344      4.46%
27    31    NO       1312680624      4.38%
125   1     NO       1311737761      4.37%
40    13    NO       1307075024      4.36%
10    108   NO       1306849537      4.36%
14    99    NO       1271005560      4.24%
17    102   NO       1252878425      4.18%
107   95    NO       1233690632      4.11%
115   64    NO       1184170600      3.95%
102   17    NO       1184124869      3.95%
108   50    NO       1172266688      3.91%
2     71    NO       1157893896      3.86%
97    56    NO       1144465512      3.81%
84    30    NO       1138654336      3.80%
65    91    NO       1131240792      3.77%
127   80    NO       1126859392      3.76%
0     14    NO       1112954688      3.71%
120   82    NO       1097276136      3.66%
80    108   NO       1089451304      3.63%
122   13    NO       1082847928      3.61%
49    45    NO       1075285856      3.58%
110   0     NO       1067450168      3.56%
112   115   NO       1064319152      3.55%
95    40    NO       1061224456      3.54%
53    74    NO       1047433744      3.49%
64    104   NO       1023855032      3.41%
47    67    NO       1022609760      3.41%
845   89    YES      1021000848      3.40%
99    90    NO       1018490616      3.39%
94    38    NO       1016618984      3.39%
79    12    NO       1009101120      3.36%
56    109   NO       1005336280      3.35%
82    8     NO       995014512       3.32%
64    18    NO       980557072       3.27%
109   12    NO       970867880       3.24%
105   5     NO       964419200       3.21%
13    64    NO       949774768       3.17%
14    65    NO       944201560       3.15%
8     62    NO       939574120       3.13%
74    113   NO       935520288       3.12%
71    122   NO       934182424       3.11%
9     42    NO       927368640       3.09%
35    26    NO       926364352       3.09%
102   34    NO       923544216       3.08%
98    33    NO       917853328       3.06%
12    19    NO       914995648       3.05%
69    79    NO       908093448       3.03%
40    21    NO       906187168       3.02%
77    27    NO       906069688       3.02%
21    90    NO       888951616       2.96%
97    49    NO       885482392       2.95%
101   123   NO       882702304       2.94%
1009  110   YES      875413112       2.92%
13    237   YES      874600288       2.92%
81    41    NO       869965632       2.90%
91    71    NO       869219072       2.90%
31    27    NO       867820136       2.89%
109   103   NO       866961960       2.89%
21    7     NO       860357160       2.87%
48    15    NO       858533008       2.86%
50    23    NO       855243488       2.85%
34    98    NO       849492048       2.83%
39    9     NO       847591296       2.83%
77    746   YES      843667680       2.81%
38    81    NO       832944304       2.78%
91    28    NO       831670296       2.77%
19    36    NO       830926704       2.77%
113   49    NO       826888392       2.76%
41    84    NO       808702960       2.70%
45    36    NO       804322720       2.68%
36    3     NO       800627328       2.67%
65    14    NO       796996104       2.66%
3     36    NO       791065685       2.64%
104   48    NO       789228832       2.63%
31    60    NO       783634096       2.61%
36    116   NO       782202304       2.61%
45    1     NO       781851240       2.61%
63    48    NO       780832576       2.60%
41    81    NO       778057816       2.59%
118   77    NO       778018280       2.59%
12    67    NO       773826167       2.58%
8     82    NO       773333376       2.58%
3     65    NO       772860280       2.58%
86    37    NO       770855432       2.57%
803   84    YES      760466624       2.53%
41    83    NO       756048064       2.52%
104   64    NO       754703232       2.52%
12    26    NO       753352464       2.51%
76    61    NO       752059888       2.51%
112   96    NO       743111488       2.48%
103   75    NO       742612360       2.48%
33    38    NO       741564344       2.47%
87    48    NO       740684056       2.47%
80    72    NO       738656400       2.46%
55    59    NO       736579504       2.46%
61    15    NO       736361208       2.45%
92    38    NO       733383624       2.44%
55    8     NO       730658600       2.44%
87    32    NO       729373496       2.43%
50    528   YES      728681568       2.43%
16    45    NO       725354352       2.42%
28    3     NO       725138267       2.42%
1150  127   YES      724256584       2.41%
46    114   NO       723378608       2.41%
66    57    NO       718185920       2.39%
36    119   NO       717252448       2.39%
76    65    NO       713022424       2.38%
71    127   NO       709997616       2.37%
27    40    NO       709866464       2.37%
88    79    NO       708359256       2.36%
15    61    NO       708224472       2.36%
39    21    NO       706264616       2.35%
90    852   YES      705758112       2.35%
72    104   NO       701853944       2.34%
107   89    NO       699278968       2.33%
49    97    NO       699135136       2.33%
112   75    NO       696614336       2.32%
95    107   NO       696363888       2.32%
38    92    NO       691117312       2.30%
53    44    NO       690849064       2.30%
74    123   NO       688941432       2.30%
45    49    NO       688390184       2.29%
25    118   NO       685882176       2.29%
83    58    NO       685861384       2.29%
60    10    NO       684037176       2.28%
5     105   NO       678050472       2.26%
61    76    NO       677909944       2.26%
50    108   NO       677894056       2.26%
64    115   NO       676193608       2.25%
37    61    NO       674808280       2.25%
1     45    NO       673331080       2.24%
107   70    NO       671147528       2.24%
26    22    NO       669431552       2.23%
105   46    NO       667563976       2.23%
83    89    NO       663772328       2.21%
117   30    NO       662661184       2.21%
11    87    NO       659973600       2.20%
13    40    NO       658508232       2.20%
35    55    NO       657798800       2.19%
14    0     NO       656505312       2.19%
25    21    NO       654017944       2.18%
77    30    NO       653402030       2.18%
59    32    NO       653289424       2.18%
9     49    NO       649837304       2.17%
56    97    NO       648855560       2.16%
5     16    NO       648309184       2.16%
124   92    NO       643643056       2.15%
10    71    NO       643561976       2.15%
82    117   NO       643499384       2.14%
119   89    NO       643150280       2.14%
94    35    NO       642668072       2.14%
32    59    NO       642336672       2.14%
47    123   NO       640282104       2.13%
38    94    NO       639851960       2.13%
62    96    NO       637622752       2.13%
85    4     NO       635296424       2.12%
79    69    NO       635220504       2.12%
75    103   NO       634080424       2.11%
75    57    NO       633553464       2.11%
114   46    NO       633036872       2.11%
48    87    NO       632277064       2.11%
34    102   NO       631521432       2.11%
7     55    NO       630523792       2.10%
123   14    NO       630124648       2.10%
5     106   NO       629659648       2.10%
111   120   NO       629579904       2.10%
30    117   NO       629427892       2.10%
121   108   NO       628823664       2.10%
71    10    NO       627678216       2.09%
82    0     NO       627591312       2.09%
125   15    NO       626150968       2.09%
66    41    NO       624494672       2.08%
120   92    NO       624332936       2.08%
25    111   NO       623327112       2.08%
106   86    NO       623203192       2.08%
96    88    NO       622681416       2.08%
43    78    NO       620799176       2.07%
76    52    NO       620247080       2.07%
89    119   NO       619575688       2.07%
12    79    NO       619421088       2.06%
98    46    NO       617481032       2.06%
123   47    NO       617104144       2.06%
46    76    NO       616338760       2.05%
61    20    NO       614577656       2.05%
57    66    NO       613590040       2.05%
18    100   NO       612878128       2.04%
21    40    NO       612846824       2.04%
96    112   NO       612339344       2.04%
104   962   YES      611771824       2.04%
65    76    NO       610561232       2.04%
0     110   NO       607599872       2.03%
92    120   NO       607304640       2.02%
42    88    NO       606951192       2.02%
88    96    NO       606306728       2.02%
79    88    NO       606096184       2.02%
27    77    NO       605663848       2.02%
55    42    NO       604666992       2.02%
10    49    NO       604320176       2.01%
23    50    NO       604230024       2.01%
71    2     NO       603753240       2.01%
90    21    NO       602426496       2.01%
696   71    YES      602071728       2.01%
22    112   NO       599998728       2.00%
123   119   NO       599768776       2.00%
42    469   YES      599370992       2.00%
44    53    NO       598562776       2.00%
23    54    NO       598021192       1.99%
447   39    YES      597442144       1.99%
59    127   NO       596339880       1.99%
21    39    NO       594306056       1.98%
72    94    NO       593324056       1.98%
70    31    NO       592095040       1.97%
52    70    NO       588990936       1.96%
1     27    NO       587634576       1.96%
594   58    YES      585755216       1.95%
61    79    NO       585454168       1.95%
28    356   YES      584593072       1.95%
117   33    NO       583928000       1.95%
78    43    NO       583652864       1.95%
3     56    NO       583445040       1.94%
99    2     NO       583426400       1.94%
52    76    NO       582972344       1.94%
18    93    NO       582800416       1.94%
26    5     NO       581845720       1.94%
89    60    NO       581669824       1.94%
105   11    NO       581590008       1.94%
76    46    NO       581214536       1.94%
18    272   YES      581212056       1.94%
34    101   NO       581081408       1.94%
31    70    NO       580481568       1.93%
89    83    NO       580012992       1.93%
56    54    NO       578969288       1.93%
31    0     NO       577659448       1.93%
24    81    NO       577498888       1.92%
4     79    NO       577226168       1.92%
56    73    NO       576699784       1.92%
42    9     NO       576553480       1.92%
49    9     NO       575579629       1.92%
96    10    NO       575370992       1.92%
0     82    NO       575096512       1.92%
74    53    NO       574865976       1.92%
2     58    NO       574365376       1.91%
37    94    NO       574089392       1.91%
20    61    NO       572341528       1.91%
98    34    NO       569566048       1.90%
102   86    NO       569455072       1.90%
49    524   YES      568911504       1.90%
15    121   NO       567598232       1.89%
6     30    NO       566450160       1.89%
65    115   NO       562734568       1.88%
92    103   NO       561804792       1.87%
35    94    NO       560910656       1.87%
0     31    NO       558614048       1.86%
67    35    NO       557587712       1.86%
42    55    NO       556912816       1.86%
34    64    NO       555537096       1.85%
121   53    NO       554485000       1.85%
66    54    NO       553298016       1.84%
49    10    NO       552940048       1.84%
105   118   NO       551998928       1.84%
122   20    NO       551717968       1.84%
112   110   NO       551324576       1.84%
10    96    NO       550854216       1.84%
119   36    NO       550621888       1.84%
82    120   NO       550617344       1.84%
58    43    NO       549885480       1.83%
111   9     NO       549660112       1.83%
94    122   NO       548871160       1.83%
54    66    NO       548684576       1.83%
54    56    NO       547167448       1.82%
103   92    NO       545892936       1.82%
50    24    NO       544480864       1.81%
53    19    NO       544478408       1.81%
123   101   NO       544362200       1.81%
118   109   NO       543867856       1.81%
60    611   YES      542705768       1.81%
24    51    NO       542176200       1.81%
10    60    NO       542049536       1.81%
32    100   NO       541482944       1.80%
97    98    NO       541125786       1.80%
38    33    NO       540927104       1.80%
91    92    NO       540525152       1.80%
120   111   NO       540280592       1.80%
59    51    NO       539336992       1.80%
118   25    NO       537189368       1.79%
11    105   NO       535288848       1.78%
17    90    NO       534103792       1.78%
92    124   NO       533692088       1.78%
37    86    NO       533675120       1.78%
32    87    NO       532128040       1.77%
116   76    NO       532011792       1.77%
33    98    NO       531713368       1.77%
511   47    YES      530062864       1.77%
1094  120   YES      529744448       1.77%
48    119   NO       529371568       1.76%
30    6     NO       528882208       1.76%
126   18    NO       528759968       1.76%
54    114   NO       528735792       1.76%
93    18    NO       528609248       1.76%
14    123   NO       527970784       1.76%
90    17    NO       527856160       1.76%
5     26    NO       527820664       1.76%
111   25    NO       526788464       1.76%
19    41    NO       526375456       1.75%
5     68    NO       525366976       1.75%
34    69    NO       524963896       1.75%
102   125   NO       523115640       1.74%
64    34    NO       522649232       1.74%
81    24    NO       522491528       1.74%
62    628   YES      522382184       1.74%
109   56    NO       522297080       1.74%
123   74    NO       522200480       1.74%
46    105   NO       521660328       1.74%
57    99    NO       521601272       1.74%
62    101   NO       520490688       1.73%
83    41    NO       520306824       1.73%
50    101   NO       520192736       1.73%
1013  110   YES      519836952       1.73%
117   17    NO       519641304       1.73%
111   87    NO       518147864       1.73%
2     99    NO       517935984       1.73%
27    67    NO       517267480       1.72%
101   50    NO       516438992       1.72%
99    57    NO       515568520       1.72%
73    95    NO       515565152       1.72%
31    20    NO       514321224       1.71%
87    111   NO       514301288       1.71%
