Src   Dst   Srvport  Utilized (ns)   Utilization
134   0     YES      356524136       0.71%
0     14    NO       351019783       0.70%
63    13    NO       216423954       0.43%
13    235   YES      212514507       0.43%
79    0     NO       199601915       0.40%
5     168   YES      195666520       0.39%
14    42    NO       193309981       0.39%
7     63    NO       182694123       0.37%
3     5     NO       170833739       0.34%
4     165   YES      168824981       0.34%
185   7     YES      164093835       0.33%
235   13    YES      162622774       0.33%
110   9     NO       154041586       0.31%
8     197   YES      141265994       0.28%
154   3     YES      139149167       0.28%
245   14    YES      133826061       0.27%
168   5     YES      128579394       0.26%
193   8     YES      118624883       0.24%
3     154   YES      116245844       0.23%
0     133   YES      113122361       0.23%
80    0     NO       111206983       0.22%
7     185   YES      106410768       0.21%
15    18    NO       105959440       0.21%
244   14    YES      101571587       0.20%
16    257   YES      100583963       0.20%
202   9     YES      97647943        0.20%
228   12    YES      95648372        0.19%
278   18    YES      95071037        0.19%
133   0     YES      93735631        0.19%
14    0     NO       92470172        0.18%
0     129   YES      92032689        0.18%
10    214   YES      89973063        0.18%
223   11    YES      89710726        0.18%
167   4     YES      89517578        0.18%
257   16    YES      85969036        0.17%
24    1     NO       85806140        0.17%
5     3     NO       81653468        0.16%
7     186   YES      79983316        0.16%
9     201   YES      78706479        0.16%
2     147   YES      76082532        0.15%
165   4     YES      75617275        0.15%
136   1     YES      74028581        0.15%
234   13    YES      73289174        0.15%
276   18    YES      72675867        0.15%
13    120   NO       71704449        0.14%
4     5     NO       69988439        0.14%
199   8     YES      69340979        0.14%
4     164   YES      68908299        0.14%
1     80    NO       68118550        0.14%
285   19    YES      67493299        0.13%
18    278   YES      67472810        0.13%
120   7     NO       67064676        0.13%
231   12    YES      66930133        0.13%
75    4     NO       66382381        0.13%
238   13    YES      66032146        0.13%
4     167   YES      65753466        0.13%
19    285   YES      65725219        0.13%
12    25    NO       65086556        0.13%
5     175   YES      64772625        0.13%
164   4     YES      64220470        0.13%
11    218   YES      64154935        0.13%
274   18    YES      63053526        0.13%
18    15    NO       61924732        0.12%
2     22    NO       61916119        0.12%
145   2     YES      61780004        0.12%
152   3     YES      60284337        0.12%
0     38    NO       59406405        0.12%
11    81    NO       59064473        0.12%
186   7     YES      58115037        0.12%
18    277   YES      56442020        0.11%
239   13    YES      56253290        0.11%
11    113   NO       55752343        0.11%
81    11    NO       55391062        0.11%
8     199   YES      55207750        0.11%
251   15    YES      54826718        0.11%
53    16    NO       54424427        0.11%
22    4     NO       54377030        0.11%
159   3     YES      53736780        0.11%
4     13    NO       53653698        0.11%
14    244   YES      52249452        0.10%
142   1     YES      51892765        0.10%
15    12    NO       51518066        0.10%
175   5     YES      51245446        0.10%
5     4     NO       51101743        0.10%
314   23    YES      50746545        0.10%
243   14    YES      49867550        0.10%
21    121   NO       49606661        0.10%
14    81    NO       49388858        0.10%
218   11    YES      48976594        0.10%
1     53    NO       48213810        0.10%
242   14    YES      46691982        0.09%
182   6     YES      46231496        0.09%
2     1     NO       46068970        0.09%
1     136   YES      45829374        0.09%
18    7     NO       45784650        0.09%
295   20    YES      44955530        0.09%
106   4     NO       44793865        0.09%
173   5     YES      44751461        0.09%
3     19    NO       44055081        0.09%
210   10    YES      44044693        0.09%
18    274   YES      43888844        0.09%
1     18    NO       43340556        0.09%
3     152   YES      43339153        0.09%
12    231   YES      42906751        0.09%
277   18    YES      42814038        0.09%
23    0     NO       42631595        0.09%
236   13    YES      42225073        0.08%
7     188   YES      41319007        0.08%
316   23    YES      41302537        0.08%
1     15    NO       41235596        0.08%
12    226   YES      41203251        0.08%
1     138   YES      41112770        0.08%
21    298   YES      41085841        0.08%
0     134   YES      40843132        0.08%
0     24    NO       40704862        0.08%
13    236   YES      40045904        0.08%
4     15    NO       39647312        0.08%
267   17    YES      39641298        0.08%
2     145   YES      39506486        0.08%
255   15    YES      39463935        0.08%
129   0     YES      39257475        0.08%
180   6     YES      38759727        0.08%
15    251   YES      38206928        0.08%
138   1     YES      38179389        0.08%
313   23    YES      38090651        0.08%
7     189   YES      38034566        0.08%
21    300   YES      37586471        0.08%
200   9     YES      37570603        0.08%
226   12    YES      37153612        0.07%
113   0     NO       37031527        0.07%
261   16    YES      36654424        0.07%
247   14    YES      36542819        0.07%
184   7     YES      36501226        0.07%
188   7     YES      36478847        0.07%
4     162   YES      35811509        0.07%
9     10    NO       35717563        0.07%
15    249   YES      35707323        0.07%
217   11    YES      35678629        0.07%
253   15    YES      35662395        0.07%
11    217   YES      35575600        0.07%
4     1     NO       35402473        0.07%
6     182   YES      35121758        0.07%
5     174   YES      35062254        0.07%
1     142   YES      34991220        0.07%
6     180   YES      34769789        0.07%
17    266   YES      34578521        0.07%
9     12    NO       34507640        0.07%
135   0     YES      34407435        0.07%
1     2     NO       34256298        0.07%
147   2     YES      34252445        0.07%
12    228   YES      34109222        0.07%
215   10    YES      33815157        0.07%
16    23    NO       33509880        0.07%
17    267   YES      33506632        0.07%
5     173   YES      33370805        0.07%
300   21    YES      33347590        0.07%
0     130   YES      33219288        0.07%
279   18    YES      33081903        0.07%
24    8     NO       32885829        0.07%
271   17    YES      32838212        0.07%
21    299   YES      32812711        0.07%
10    215   YES      32747315        0.07%
192   8     YES      32303710        0.06%
4     22    NO       32043158        0.06%
12    15    NO       31883207        0.06%
15    121   NO       31812705        0.06%
16    53    NO       31535258        0.06%
303   21    YES      31423913        0.06%
290   20    YES      31340841        0.06%
20    17    NO       31177271        0.06%
9     207   YES      30942951        0.06%
19    284   YES      30697957        0.06%
20    18    NO       30632856        0.06%
67    10    NO       30610505        0.06%
99    7     NO       30473666        0.06%
0     86    NO       30157140        0.06%
6     176   YES      30141130        0.06%
160   4     YES      30099914        0.06%
15    253   YES      30057419        0.06%
22    310   YES      29915279        0.06%
14    242   YES      29882154        0.06%
9     3     NO       29734845        0.06%
13    104   NO       29457186        0.06%
14    105   NO       29453847        0.06%
21    296   YES      29371687        0.06%
15    255   YES      29327906        0.06%
11    219   YES      29135836        0.06%
207   9     YES      29118166        0.06%
208   10    YES      28836595        0.06%
5     16    NO       28539787        0.06%
20    19    NO       28538486        0.06%
14    24    NO       28527582        0.06%
121   21    NO       28405003        0.06%
310   22    YES      28321059        0.06%
10    212   YES      28197066        0.06%
15    4     NO       28113711        0.06%
203   9     YES      28083872        0.06%
190   7     YES      28082200        0.06%
23    46    NO       27765554        0.06%
6     9     NO       27583670        0.06%
195   8     YES      27426453        0.05%
20    295   YES      27242649        0.05%
260   16    YES      27132569        0.05%
3     106   NO       27022557        0.05%
287   19    YES      26851647        0.05%
155   3     YES      26840654        0.05%
302   21    YES      26660023        0.05%
266   17    YES      26641125        0.05%
22    2     NO       26532237        0.05%
174   5     YES      26362238        0.05%
117   15    NO       26279691        0.05%
6     20    NO       26119844        0.05%
153   3     YES      26119362        0.05%
23    42    NO       25999591        0.05%
94    14    NO       25912654        0.05%
89    5     NO       25751011        0.05%
171   5     YES      25720196        0.05%
162   4     YES      25690594        0.05%
298   21    YES      25583847        0.05%
15    3     NO       25478253        0.05%
169   5     YES      25353925        0.05%
20    6     NO       25320083        0.05%
19    4     NO       25287136        0.05%
9     200   YES      25162670        0.05%
20    290   YES      25046509        0.05%
6     178   YES      25032266        0.05%
21    301   YES      24957580        0.05%
16    261   YES      24874859        0.05%
301   21    YES      24825539        0.05%
191   7     YES      24784326        0.05%
23    316   YES      24713697        0.05%
224   12    YES      24678351        0.05%
15    22    NO       24585203        0.05%
12    21    NO       24380791        0.05%
7     190   YES      24275451        0.05%
7     184   YES      24207392        0.05%
18    1     NO       24185766        0.05%
96    14    NO       24098995        0.05%
176   6     YES      24078995        0.05%
311   22    YES      24054577        0.05%
5     169   YES      24044695        0.05%
212   10    YES      23991723        0.05%
219   11    YES      23954206        0.05%
86    17    NO       23783240        0.05%
17    43    NO       23565504        0.05%
132   0     YES      23525473        0.05%
90    21    NO       23470313        0.05%
22    0     NO       23452691        0.05%
21    302   YES      23361995        0.05%
139   1     YES      23327421        0.05%
7     191   YES      23300573        0.05%
3     9     NO       23252954        0.05%
170   5     YES      23167882        0.05%
269   17    YES      23134952        0.05%
4     10    NO       22979749        0.05%
16    50    NO       22975765        0.05%
265   17    YES      22951849        0.05%
252   15    YES      22891662        0.05%
144   2     YES      22834675        0.05%
197   8     YES      22814344        0.05%
225   12    YES      22790174        0.05%
23    314   YES      22778197        0.05%
1     108   NO       22776638        0.05%
23    317   YES      22717814        0.05%
25    0     NO       22710931        0.05%
149   2     YES      22648101        0.05%
8     22    NO       22629108        0.05%
8     194   YES      22425196        0.04%
14    22    NO       22330470        0.04%
282   19    YES      22249367        0.04%
3     156   YES      22247941        0.04%
157   3     YES      22187382        0.04%
21    297   YES      22185947        0.04%
17    269   YES      22145890        0.04%
116   1     NO       22015694        0.04%
13    16    NO       21996105        0.04%
288   20    YES      21960832        0.04%
178   6     YES      21942026        0.04%
5     6     NO       21874364        0.04%
283   19    YES      21853583        0.04%
81    14    NO       21771368        0.04%
81    15    NO       21766759        0.04%
22    311   YES      21742668        0.04%
98    3     NO       21721802        0.04%
21    23    NO       21700199        0.04%
8     89    NO       21645472        0.04%
7     19    NO       21642684        0.04%
18    279   YES      21607043        0.04%
13    237   YES      21592554        0.04%
11    221   YES      21529518        0.04%
305   22    YES      21474369        0.04%
10    9     NO       21428807        0.04%
319   23    YES      21365709        0.04%
7     18    NO       21351826        0.04%
296   21    YES      21087877        0.04%
194   8     YES      21074975        0.04%
198   8     YES      20950474        0.04%
6     8     NO       20945909        0.04%
11    223   YES      20941836        0.04%
284   19    YES      20891803        0.04%
9     203   YES      20881703        0.04%
37    4     NO       20857580        0.04%
3     159   YES      20839284        0.04%
3     157   YES      20788289        0.04%
19    15    NO       20774257        0.04%
14    241   YES      20741164        0.04%
23    21    NO       20699191        0.04%
273   18    YES      20692416        0.04%
22    14    NO       20607376        0.04%
240   14    YES      20578306        0.04%
16    13    NO       20482426        0.04%
121   8     NO       20456447        0.04%
259   16    YES      20442528        0.04%
289   20    YES      20312315        0.04%
14    243   YES      20274992        0.04%
3     15    NO       20202876        0.04%
306   22    YES      20123641        0.04%
221   11    YES      20114589        0.04%
16    37    NO       19999490        0.04%
20    288   YES      19987852        0.04%
183   6     YES      19895175        0.04%
308   22    YES      19890944        0.04%
5     170   YES      19880898        0.04%
246   14    YES      19833725        0.04%
1     143   YES      19807899        0.04%
10    4     NO       19739611        0.04%
19    20    NO       19732252        0.04%
113   13    NO       19668339        0.04%
1     3     NO       19489435        0.04%
151   2     YES      19433880        0.04%
22    308   YES      19416807        0.04%
211   10    YES      19351829        0.04%
254   15    YES      19298369        0.04%
229   12    YES      19290817        0.04%
2     151   YES      19285514        0.04%
291   20    YES      19248280        0.04%
213   10    YES      19243230        0.04%
201   9     YES      19211252        0.04%
18    276   YES      18992772        0.04%
158   3     YES      18979191        0.04%
214   10    YES      18959856        0.04%
22    13    NO       18889795        0.04%
16    260   YES      18864661        0.04%
22    309   YES      18817931        0.04%
10    84    NO       18799378        0.04%
19    282   YES      18795951        0.04%
299   21    YES      18748215        0.04%
18    42    NO       18706420        0.04%
23    313   YES      18663197        0.04%
10    208   YES      18612583        0.04%
5     171   YES      18572959        0.04%
12    225   YES      18557529        0.04%
16    116   NO       18525455        0.04%
6     183   YES      18512580        0.04%
23    104   NO       18437695        0.04%
121   23    NO       18402117        0.04%
18    272   YES      18363686        0.04%
15    252   YES      18309520        0.04%
156   3     YES      18306273        0.04%
241   14    YES      18251780        0.04%
263   16    YES      18215699        0.04%
286   19    YES      18190322        0.04%
20    289   YES      18156946        0.04%
256   16    YES      18056505        0.04%
84    12    NO       18040364        0.04%
22    306   YES      17959077        0.04%
0     135   YES      17956839        0.04%
8     195   YES      17941198        0.04%
163   4     YES      17895287        0.04%
23    319   YES      17836955        0.04%
209   10    YES      17834070        0.04%
272   18    YES      17765318        0.04%
309   22    YES      17720037        0.04%
0     132   YES      17699756        0.04%
8     192   YES      17666435        0.04%
2     150   YES      17633740        0.04%
0     128   YES      17567298        0.04%
9     5     NO       17527795        0.04%
4     160   YES      17519812        0.04%
2     148   YES      17442413        0.03%
148   2     YES      17427166        0.03%
12    229   YES      17409962        0.03%
17    10    NO       17379465        0.03%
3     153   YES      17356547        0.03%
