Src   Dst   Srvport  Utilized (ns)   Utilization
105   118   NO       687928248       2.29%
46    105   NO       682550600       2.28%
118   77    NO       657734216       2.19%
503   46    YES      643514768       2.15%
77    750   YES      643099712       2.14%
53    44    NO       258608640       0.86%
74    53    NO       249330080       0.83%
44    69    NO       243971344       0.81%
726   74    YES      238046536       0.79%
69    686   YES      237538488       0.79%
97    56    NO       205340256       0.68%
11    97    NO       197919336       0.66%
105   11    NO       194793720       0.65%
56    73    NO       193016856       0.64%
973   105   YES      174377680       0.58%
73    716   YES      173591736       0.58%
29    121   NO       102407912       0.34%
124   92    NO       86441272        0.29%
98    97    NO       85962408        0.29%
86    102   NO       85115280        0.28%
50    101   NO       84774312        0.28%
34    98    NO       84055648        0.28%
101   34    NO       83697440        0.28%
75    103   NO       82670536        0.28%
102   34    NO       80474256        0.27%
103   29    NO       77377320        0.26%
118   105   NO       76421336        0.25%
66    57    NO       75275640        0.25%
108   124   NO       75108592        0.25%
56    97    NO       74533552        0.25%
92    120   NO       74373552        0.25%
105   46    NO       74204736        0.25%
529   50    YES      73633312        0.25%
97    907   YES      73534232        0.25%
34    102   NO       73383248        0.24%
25    28    NO       71975856        0.24%
120   82    NO       71882384        0.24%
69    79    NO       71707752        0.24%
10    71    NO       67433504        0.22%
77    118   NO       66847544        0.22%
121   1101  YES      66497880        0.22%
732   75    YES      66403712        0.22%
996   108   YES      66401232        0.22%
79    4     NO       66269200        0.22%
97    11    NO       65506080        0.22%
22    6     NO       65503104        0.22%
115   112   NO       65411608        0.22%
3     56    NO       64179768        0.21%
112   110   NO       62908080        0.21%
82    791   YES      62866008        0.21%
81    24    NO       61821416        0.21%
74    87    NO       61513696        0.21%
821   86    YES      60007296        0.20%
4     115   NO       59976888        0.20%
34    407   YES      58543176        0.20%
52    70    NO       58128928        0.19%
32    59    NO       58036136        0.19%
57    52    NO       57735264        0.19%
159   3     YES      57445592        0.19%
87    11    NO       57299280        0.19%
11    218   YES      57218656        0.19%
115   64    NO       56898728        0.19%
127   59    NO       56749320        0.19%
66    22    NO       55735496        0.19%
53    117   NO       55493656        0.18%
112   115   NO       55485816        0.18%
102   945   YES      55223936        0.18%
71    127   NO       54771408        0.18%
79    69    NO       54646232        0.18%
4     79    NO       54562728        0.18%
750   77    YES      54552752        0.18%
684   69    YES      54085568        0.18%
64    34    NO       53853608        0.18%
46    503   YES      53091712        0.18%
99    57    NO       52065616        0.17%
329   25    YES      51958200        0.17%
28    354   YES      51338456        0.17%
